#           k/h    P           
    0.42098E-02    0.22625E+03
    0.42948E-02    0.22947E+03
    0.43816E-02    0.23271E+03
    0.44701E-02    0.23597E+03
    0.45604E-02    0.23924E+03
    0.46525E-02    0.24253E+03
    0.47465E-02    0.24584E+03
    0.48424E-02    0.24916E+03
    0.49402E-02    0.25249E+03
    0.50400E-02    0.25584E+03
    0.51419E-02    0.25920E+03
    0.52457E-02    0.26256E+03
    0.53517E-02    0.26594E+03
    0.54598E-02    0.26932E+03
    0.55701E-02    0.27270E+03
    0.56826E-02    0.27609E+03
    0.57974E-02    0.27947E+03
    0.59145E-02    0.28286E+03
    0.60340E-02    0.28624E+03
    0.61559E-02    0.28961E+03
    0.62803E-02    0.29298E+03
    0.64072E-02    0.29634E+03
    0.65366E-02    0.29969E+03
    0.66686E-02    0.30302E+03
    0.68033E-02    0.30634E+03
    0.69408E-02    0.30964E+03
    0.70810E-02    0.31293E+03
    0.72240E-02    0.31619E+03
    0.73700E-02    0.31942E+03
    0.75189E-02    0.32263E+03
    0.76708E-02    0.32580E+03
    0.78257E-02    0.32894E+03
    0.79838E-02    0.33205E+03
    0.81451E-02    0.33511E+03
    0.83096E-02    0.33814E+03
    0.84775E-02    0.34112E+03
    0.86488E-02    0.34405E+03
    0.88235E-02    0.34693E+03
    0.90017E-02    0.34975E+03
    0.91836E-02    0.35252E+03
    0.93691E-02    0.35523E+03
    0.95583E-02    0.35787E+03
    0.97514E-02    0.36044E+03
    0.99484E-02    0.36294E+03
    0.10149E-01    0.36536E+03
    0.10354E-01    0.36770E+03
    0.10564E-01    0.36996E+03
    0.10777E-01    0.37214E+03
    0.10995E-01    0.37422E+03
    0.11217E-01    0.37620E+03
    0.11443E-01    0.37808E+03
    0.11675E-01    0.37985E+03
    0.11910E-01    0.38152E+03
    0.12151E-01    0.38307E+03
    0.12397E-01    0.38451E+03
    0.12647E-01    0.38584E+03
    0.12902E-01    0.38704E+03
    0.13163E-01    0.38811E+03
    0.13429E-01    0.38904E+03
    0.13700E-01    0.38981E+03
    0.13977E-01    0.39043E+03
    0.14259E-01    0.39089E+03
    0.14547E-01    0.39121E+03
    0.14841E-01    0.39141E+03
    0.15141E-01    0.39150E+03
    0.15447E-01    0.39150E+03
    0.15759E-01    0.39139E+03
    0.16077E-01    0.39113E+03
    0.16402E-01    0.39070E+03
    0.16734E-01    0.39006E+03
    0.17072E-01    0.38919E+03
    0.17416E-01    0.38808E+03
    0.17768E-01    0.38675E+03
    0.18127E-01    0.38523E+03
    0.18493E-01    0.38354E+03
    0.18867E-01    0.38168E+03
    0.19248E-01    0.37965E+03
    0.19637E-01    0.37744E+03
    0.20034E-01    0.37501E+03
    0.20438E-01    0.37235E+03
    0.20851E-01    0.36945E+03
    0.21272E-01    0.36632E+03
    0.21702E-01    0.36298E+03
    0.22141E-01    0.35946E+03
    0.22588E-01    0.35579E+03
    0.23044E-01    0.35198E+03
    0.23510E-01    0.34804E+03
    0.23985E-01    0.34398E+03
    0.24469E-01    0.33979E+03
    0.24964E-01    0.33548E+03
