#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.658280E+07   0.658280E+07   0.877575E+07   0.877570E+07   0.658795E+07   0.658282E+07   0.658280E+07   0.659220E+07  -0.595880E+00   0.643781E+07   0.643781E+07   0.122098E+02
   0.109829E-04   0.658280E+07   0.658280E+07   0.877546E+07   0.877540E+07   0.658794E+07   0.658282E+07   0.658280E+07   0.659220E+07  -0.595880E+00   0.643781E+07   0.643781E+07   0.134817E+02
   0.121272E-04   0.658280E+07   0.658280E+07   0.877511E+07   0.877503E+07   0.658793E+07   0.658282E+07   0.658280E+07   0.659220E+07  -0.595880E+00   0.643781E+07   0.643781E+07   0.148860E+02
   0.133906E-04   0.658279E+07   0.658279E+07   0.877467E+07   0.877458E+07   0.658792E+07   0.658282E+07   0.658279E+07   0.659220E+07  -0.595879E+00   0.643781E+07   0.643781E+07   0.164365E+02
   0.147857E-04   0.658279E+07   0.658279E+07   0.877415E+07   0.877403E+07   0.658791E+07   0.658282E+07   0.658279E+07   0.659219E+07  -0.595879E+00   0.643781E+07   0.643781E+07   0.181484E+02
   0.163261E-04   0.658279E+07   0.658279E+07   0.877351E+07   0.877337E+07   0.658789E+07   0.658281E+07   0.658279E+07   0.659219E+07  -0.595879E+00   0.643780E+07   0.643780E+07   0.200385E+02
   0.180270E-04   0.658278E+07   0.658278E+07   0.877272E+07   0.877256E+07   0.658787E+07   0.658281E+07   0.658278E+07   0.659218E+07  -0.595878E+00   0.643780E+07   0.643780E+07   0.221253E+02
   0.199051E-04   0.658278E+07   0.658278E+07   0.877177E+07   0.877156E+07   0.658785E+07   0.658280E+07   0.658278E+07   0.659218E+07  -0.595878E+00   0.643779E+07   0.643779E+07   0.244292E+02
   0.219788E-04   0.658277E+07   0.658277E+07   0.877060E+07   0.877036E+07   0.658782E+07   0.658280E+07   0.658277E+07   0.659217E+07  -0.595877E+00   0.643779E+07   0.643779E+07   0.269727E+02
   0.242687E-04   0.658277E+07   0.658276E+07   0.876919E+07   0.876888E+07   0.658778E+07   0.658279E+07   0.658277E+07   0.659216E+07  -0.595876E+00   0.643778E+07   0.643778E+07   0.297806E+02
   0.267970E-04   0.658276E+07   0.658275E+07   0.876746E+07   0.876709E+07   0.658774E+07   0.658278E+07   0.658276E+07   0.659215E+07  -0.595875E+00   0.643777E+07   0.643777E+07   0.328804E+02
   0.295888E-04   0.658275E+07   0.658274E+07   0.876535E+07   0.876490E+07   0.658769E+07   0.658277E+07   0.658274E+07   0.659214E+07  -0.595874E+00   0.643776E+07   0.643776E+07   0.363021E+02
   0.326714E-04   0.658273E+07   0.658273E+07   0.876278E+07   0.876223E+07   0.658763E+07   0.658275E+07   0.658273E+07   0.659212E+07  -0.595872E+00   0.643775E+07   0.643774E+07   0.400789E+02
   0.360752E-04   0.658272E+07   0.658271E+07   0.875966E+07   0.875898E+07   0.658755E+07   0.658274E+07   0.658271E+07   0.659210E+07  -0.595870E+00   0.643773E+07   0.643773E+07   0.442474E+02
   0.398336E-04   0.658270E+07   0.658269E+07   0.875584E+07   0.875502E+07   0.658745E+07   0.658272E+07   0.658269E+07   0.659207E+07  -0.595868E+00   0.643771E+07   0.643771E+07   0.488478E+02
   0.439836E-04   0.658267E+07   0.658267E+07   0.875119E+07   0.875019E+07   0.658734E+07   0.658269E+07   0.658267E+07   0.659204E+07  -0.595865E+00   0.643769E+07   0.643768E+07   0.539242E+02
   0.485659E-04   0.658264E+07   0.658264E+07   0.874553E+07   0.874431E+07   0.658719E+07   0.658266E+07   0.658264E+07   0.659201E+07  -0.595862E+00   0.643766E+07   0.643765E+07   0.595251E+02
   0.536256E-04   0.658260E+07   0.658260E+07   0.873862E+07   0.873714E+07   0.658702E+07   0.658262E+07   0.658260E+07   0.659196E+07  -0.595857E+00   0.643762E+07   0.643761E+07   0.657036E+02
   0.592125E-04   0.658256E+07   0.658255E+07   0.873022E+07   0.872841E+07   0.658681E+07   0.658258E+07   0.658256E+07   0.659191E+07  -0.595852E+00   0.643758E+07   0.643757E+07   0.725179E+02
   0.653814E-04   0.658251E+07   0.658250E+07   0.871998E+07   0.871778E+07   0.658656E+07   0.658252E+07   0.658250E+07   0.659184E+07  -0.595846E+00   0.643753E+07   0.643751E+07   0.800314E+02
   0.721930E-04   0.658244E+07   0.658243E+07   0.870751E+07   0.870483E+07   0.658624E+07   0.658246E+07   0.658244E+07   0.659176E+07  -0.595838E+00   0.643746E+07   0.643744E+07   0.883133E+02
   0.797142E-04   0.658236E+07   0.658234E+07   0.869233E+07   0.868906E+07   0.658586E+07   0.658237E+07   0.658236E+07   0.659166E+07  -0.595829E+00   0.643738E+07   0.643736E+07   0.974387E+02
   0.880190E-04   0.658226E+07   0.658224E+07   0.867386E+07   0.866988E+07   0.658540E+07   0.658227E+07   0.658226E+07   0.659154E+07  -0.595817E+00   0.643729E+07   0.643726E+07   0.107489E+03
   0.971891E-04   0.658214E+07   0.658212E+07   0.865138E+07   0.864655E+07   0.658483E+07   0.658215E+07   0.658214E+07   0.659140E+07  -0.595804E+00   0.643717E+07   0.643714E+07   0.118551E+03
   0.107314E-03   0.658200E+07   0.658197E+07   0.862406E+07   0.861818E+07   0.658414E+07   0.658200E+07   0.658199E+07   0.659122E+07  -0.595787E+00   0.643703E+07   0.643699E+07   0.130719E+03
