#           k/h    P           
    0.10000E-03    0.18472E+02
    0.10202E-03    0.18830E+02
    0.10408E-03    0.19195E+02
    0.10618E-03    0.19567E+02
    0.10833E-03    0.19946E+02
    0.11052E-03    0.20333E+02
    0.11275E-03    0.20727E+02
    0.11503E-03    0.21128E+02
    0.11735E-03    0.21538E+02
    0.11972E-03    0.21955E+02
    0.12214E-03    0.22380E+02
    0.12461E-03    0.22814E+02
    0.12712E-03    0.23256E+02
    0.12969E-03    0.23707E+02
    0.13231E-03    0.24166E+02
    0.13499E-03    0.24634E+02
    0.13771E-03    0.25111E+02
    0.14049E-03    0.25598E+02
    0.14333E-03    0.26093E+02
    0.14623E-03    0.26599E+02
    0.14918E-03    0.27114E+02
    0.15220E-03    0.27639E+02
    0.15527E-03    0.28174E+02
    0.15841E-03    0.28720E+02
    0.16161E-03    0.29276E+02
    0.16487E-03    0.29843E+02
    0.16820E-03    0.30421E+02
    0.17160E-03    0.31010E+02
    0.17507E-03    0.31611E+02
    0.17860E-03    0.32223E+02
    0.18221E-03    0.32846E+02
    0.18589E-03    0.33482E+02
    0.18965E-03    0.34131E+02
    0.19348E-03    0.34791E+02
    0.19739E-03    0.35465E+02
    0.20138E-03    0.36151E+02
    0.20544E-03    0.36851E+02
    0.20959E-03    0.37564E+02
    0.21383E-03    0.38291E+02
    0.21815E-03    0.39032E+02
    0.22255E-03    0.39787E+02
    0.22705E-03    0.40557E+02
    0.23164E-03    0.41341E+02
    0.23632E-03    0.42141E+02
    0.24109E-03    0.42956E+02
    0.24596E-03    0.43787E+02
    0.25093E-03    0.44634E+02
    0.25600E-03    0.45497E+02
    0.26117E-03    0.46376E+02
    0.26645E-03    0.47273E+02
    0.27183E-03    0.48187E+02
    0.27732E-03    0.49118E+02
    0.28292E-03    0.50067E+02
    0.28864E-03    0.51035E+02
    0.29447E-03    0.52021E+02
    0.30042E-03    0.53026E+02
    0.30649E-03    0.54050E+02
    0.31268E-03    0.55094E+02
    0.31899E-03    0.56158E+02
    0.32544E-03    0.57242E+02
    0.33201E-03    0.58347E+02
    0.33872E-03    0.59473E+02
    0.34556E-03    0.60620E+02
    0.35254E-03    0.61790E+02
    0.35966E-03    0.62982E+02
    0.36693E-03    0.64197E+02
    0.37434E-03    0.65434E+02
    0.38190E-03    0.66696E+02
    0.38962E-03    0.67981E+02
    0.39749E-03    0.69291E+02
    0.40552E-03    0.70626E+02
    0.41371E-03    0.71986E+02
    0.42207E-03    0.73372E+02
    0.43060E-03    0.74785E+02
    0.43929E-03    0.76224E+02
    0.44817E-03    0.77690E+02
    0.45722E-03    0.79184E+02
    0.46646E-03    0.80707E+02
    0.47588E-03    0.82258E+02
    0.48550E-03    0.83838E+02
    0.49530E-03    0.85448E+02
    0.50531E-03    0.87089E+02
    0.51552E-03    0.88760E+02
    0.52593E-03    0.90463E+02
    0.53656E-03    0.92198E+02
    0.54739E-03    0.93965E+02
    0.55845E-03    0.95766E+02
    0.56973E-03    0.97600E+02
    0.58124E-03    0.99468E+02
    0.59299E-03    0.10137E+03
    0.60496E-03    0.10331E+03
    0.61719E-03    0.10528E+03
    0.62965E-03    0.10729E+03
    0.64237E-03    0.10934E+03
    0.65535E-03    0.11143E+03
    0.66859E-03    0.11355E+03
    0.68210E-03    0.11572E+03
    0.69588E-03    0.11792E+03
    0.70993E-03    0.12017E+03
    0.72427E-03    0.12245E+03
    0.73891E-03    0.12478E+03
    0.75383E-03    0.12715E+03
    0.76906E-03    0.12956E+03
    0.78460E-03    0.13201E+03
    0.80045E-03    0.13451E+03
    0.81662E-03    0.13706E+03
    0.83311E-03    0.13965E+03
    0.84994E-03    0.14229E+03
