#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.125873E+08   0.125873E+08   0.167782E+08   0.167780E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.100536E+02
   0.109829E-04   0.125873E+08   0.125873E+08   0.167771E+08   0.167768E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.111008E+02
   0.121272E-04   0.125873E+08   0.125873E+08   0.167757E+08   0.167755E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.122570E+02
   0.133906E-04   0.125873E+08   0.125873E+08   0.167741E+08   0.167738E+08   0.125907E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.135335E+02
   0.147857E-04   0.125873E+08   0.125873E+08   0.167721E+08   0.167717E+08   0.125907E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.149429E+02
   0.163261E-04   0.125873E+08   0.125873E+08   0.167697E+08   0.167692E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.164988E+02
   0.180270E-04   0.125873E+08   0.125873E+08   0.167668E+08   0.167662E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.182166E+02
   0.199051E-04   0.125873E+08   0.125873E+08   0.167632E+08   0.167625E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.201130E+02
   0.219788E-04   0.125873E+08   0.125873E+08   0.167588E+08   0.167579E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569016E+00   0.107761E+08   0.107761E+08   0.222064E+02
   0.242687E-04   0.125873E+08   0.125873E+08   0.167535E+08   0.167524E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125962E+08  -0.569015E+00   0.107761E+08   0.107761E+08   0.245173E+02
   0.267970E-04   0.125872E+08   0.125872E+08   0.167470E+08   0.167457E+08   0.125904E+08   0.125873E+08   0.125872E+08   0.125962E+08  -0.569014E+00   0.107760E+08   0.107760E+08   0.270680E+02
   0.295888E-04   0.125872E+08   0.125872E+08   0.167391E+08   0.167375E+08   0.125903E+08   0.125872E+08   0.125872E+08   0.125962E+08  -0.569012E+00   0.107760E+08   0.107760E+08   0.298832E+02
   0.326714E-04   0.125872E+08   0.125872E+08   0.167295E+08   0.167275E+08   0.125902E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569011E+00   0.107760E+08   0.107760E+08   0.329900E+02
   0.360752E-04   0.125872E+08   0.125872E+08   0.167177E+08   0.167153E+08   0.125901E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569009E+00   0.107760E+08   0.107760E+08   0.364182E+02
   0.398336E-04   0.125871E+08   0.125871E+08   0.167034E+08   0.167005E+08   0.125900E+08   0.125871E+08   0.125871E+08   0.125960E+08  -0.569006E+00   0.107759E+08   0.107759E+08   0.402006E+02
