#           k/h    P           
    0.91362E+00    0.19121E+01
    0.93208E+00    0.18257E+01
    0.95091E+00    0.17431E+01
    0.97011E+00    0.16641E+01
    0.98971E+00    0.15886E+01
    0.10097E+01    0.15163E+01
    0.10301E+01    0.14472E+01
    0.10509E+01    0.13812E+01
    0.10721E+01    0.13181E+01
    0.10938E+01    0.12578E+01
    0.11159E+01    0.12001E+01
    0.11384E+01    0.11450E+01
    0.11614E+01    0.10924E+01
    0.11849E+01    0.10420E+01
    0.12088E+01    0.99397E+00
    0.12333E+01    0.94806E+00
    0.12582E+01    0.90419E+00
    0.12836E+01    0.86230E+00
    0.13095E+01    0.82228E+00
    0.13360E+01    0.78406E+00
    0.13630E+01    0.74756E+00
    0.13905E+01    0.71271E+00
    0.14186E+01    0.67943E+00
    0.14472E+01    0.64766E+00
    0.14765E+01    0.61733E+00
    0.15063E+01    0.58837E+00
    0.15367E+01    0.56073E+00
    0.15678E+01    0.53434E+00
    0.15994E+01    0.50916E+00
    0.16318E+01    0.48512E+00
    0.16647E+01    0.46219E+00
    0.16984E+01    0.44030E+00
    0.17327E+01    0.41942E+00
    0.17677E+01    0.39950E+00
    0.18034E+01    0.38049E+00
    0.18398E+01    0.36237E+00
    0.18770E+01    0.34509E+00
    0.19149E+01    0.32861E+00
    0.19536E+01    0.31291E+00
    0.19930E+01    0.29794E+00
    0.20333E+01    0.28367E+00
    0.20744E+01    0.27008E+00
    0.21163E+01    0.25713E+00
    0.21590E+01    0.24479E+00
    0.22026E+01    0.23304E+00
    0.22471E+01    0.22185E+00
    0.22925E+01    0.21120E+00
    0.23388E+01    0.20105E+00
    0.23861E+01    0.19139E+00
