#           k/h    P           
    0.10000E-03    0.14141E+02
    0.10202E-03    0.14415E+02
    0.10408E-03    0.14694E+02
    0.10618E-03    0.14979E+02
    0.10833E-03    0.15269E+02
    0.11052E-03    0.15565E+02
    0.11275E-03    0.15866E+02
    0.11503E-03    0.16174E+02
    0.11735E-03    0.16487E+02
    0.11972E-03    0.16807E+02
    0.12214E-03    0.17132E+02
    0.12461E-03    0.17464E+02
    0.12712E-03    0.17803E+02
    0.12969E-03    0.18147E+02
    0.13231E-03    0.18499E+02
    0.13499E-03    0.18857E+02
    0.13771E-03    0.19223E+02
    0.14049E-03    0.19595E+02
    0.14333E-03    0.19975E+02
    0.14623E-03    0.20362E+02
    0.14918E-03    0.20756E+02
    0.15220E-03    0.21158E+02
    0.15527E-03    0.21568E+02
    0.15841E-03    0.21985E+02
    0.16161E-03    0.22411E+02
    0.16487E-03    0.22845E+02
    0.16820E-03    0.23288E+02
    0.17160E-03    0.23739E+02
    0.17507E-03    0.24198E+02
    0.17860E-03    0.24667E+02
    0.18221E-03    0.25144E+02
    0.18589E-03    0.25631E+02
    0.18965E-03    0.26127E+02
    0.19348E-03    0.26633E+02
    0.19739E-03    0.27149E+02
    0.20138E-03    0.27674E+02
    0.20544E-03    0.28210E+02
    0.20959E-03    0.28756E+02
    0.21383E-03    0.29312E+02
    0.21815E-03    0.29879E+02
    0.22255E-03    0.30458E+02
    0.22705E-03    0.31047E+02
    0.23164E-03    0.31648E+02
    0.23632E-03    0.32260E+02
    0.24109E-03    0.32884E+02
    0.24596E-03    0.33520E+02
    0.25093E-03    0.34168E+02
    0.25600E-03    0.34829E+02
    0.26117E-03    0.35502E+02
    0.26645E-03    0.36189E+02
    0.27183E-03    0.36888E+02
    0.27732E-03    0.37601E+02
    0.28292E-03    0.38328E+02
    0.28864E-03    0.39069E+02
    0.29447E-03    0.39824E+02
    0.30042E-03    0.40593E+02
    0.30649E-03    0.41377E+02
    0.31268E-03    0.42177E+02
    0.31899E-03    0.42991E+02
    0.32544E-03    0.43821E+02
    0.33201E-03    0.44667E+02
    0.33872E-03    0.45530E+02
    0.34556E-03    0.46408E+02
    0.35254E-03    0.47304E+02
    0.35966E-03    0.48217E+02
    0.36693E-03    0.49147E+02
    0.37434E-03    0.50094E+02
    0.38190E-03    0.51060E+02
    0.38962E-03    0.52045E+02
    0.39749E-03    0.53048E+02
    0.40552E-03    0.54070E+02
    0.41371E-03    0.55111E+02
    0.42207E-03    0.56173E+02
    0.43060E-03    0.57254E+02
    0.43929E-03    0.58356E+02
    0.44817E-03    0.59479E+02
    0.45722E-03    0.60624E+02
    0.46646E-03    0.61789E+02
    0.47588E-03    0.62977E+02
    0.48550E-03    0.64188E+02
    0.49530E-03    0.65421E+02
    0.50531E-03    0.66677E+02
    0.51552E-03    0.67958E+02
    0.52593E-03    0.69262E+02
    0.53656E-03    0.70590E+02
    0.54739E-03    0.71944E+02
    0.55845E-03    0.73323E+02
    0.56973E-03    0.74728E+02
    0.58124E-03    0.76159E+02
    0.59299E-03    0.77616E+02
    0.60496E-03    0.79101E+02
    0.61719E-03    0.80614E+02
    0.62965E-03    0.82154E+02
    0.64237E-03    0.83724E+02
    0.65535E-03    0.85322E+02
    0.66859E-03    0.86949E+02
    0.68210E-03    0.88607E+02
    0.69588E-03    0.90295E+02
    0.70993E-03    0.92015E+02
    0.72427E-03    0.93765E+02
    0.73891E-03    0.95548E+02
    0.75383E-03    0.97364E+02
    0.76906E-03    0.99212E+02
    0.78460E-03    0.10109E+03
    0.80045E-03    0.10301E+03
    0.81662E-03    0.10496E+03
    0.83311E-03    0.10695E+03
    0.84994E-03    0.10897E+03
    0.86711E-03    0.11103E+03
    0.88463E-03    0.11312E+03
    0.90250E-03    0.11525E+03
    0.92073E-03    0.11742E+03
    0.93933E-03    0.11963E+03
    0.95831E-03    0.12188E+03
    0.97767E-03    0.12416E+03
    0.99742E-03    0.12649E+03
    0.10176E-02    0.12886E+03
    0.10381E-02    0.13127E+03
    0.10591E-02    0.13372E+03
    0.10805E-02    0.13621E+03
    0.11023E-02    0.13875E+03
    0.11246E-02    0.14133E+03
    0.11473E-02    0.14395E+03
    0.11705E-02    0.14662E+03
    0.11941E-02    0.14933E+03
    0.12182E-02    0.15209E+03
    0.12429E-02    0.15489E+03
    0.12680E-02    0.15774E+03
    0.12936E-02    0.16064E+03
    0.13197E-02    0.16359E+03
    0.13464E-02    0.16658E+03
    0.13736E-02    0.16962E+03
    0.14013E-02    0.17271E+03
    0.14296E-02    0.17586E+03
    0.14585E-02    0.17905E+03
    0.14880E-02    0.18229E+03
    0.15180E-02    0.18559E+03
    0.15487E-02    0.18893E+03
    0.15800E-02    0.19233E+03
    0.16119E-02    0.19578E+03
    0.16445E-02    0.19928E+03
    0.16777E-02    0.20284E+03
    0.17116E-02    0.20645E+03
    0.17462E-02    0.21012E+03
    0.17814E-02    0.21384E+03
    0.18174E-02    0.21761E+03
    0.18541E-02    0.22144E+03
    0.18916E-02    0.22533E+03
    0.19298E-02    0.22927E+03
    0.19688E-02    0.23327E+03
    0.20086E-02    0.23732E+03
    0.20491E-02    0.24143E+03
    0.20905E-02    0.24560E+03
    0.21328E-02    0.24983E+03
    0.21758E-02    0.25411E+03
    0.22198E-02    0.25845E+03
    0.22646E-02    0.26285E+03
    0.23104E-02    0.26730E+03
    0.23571E-02    0.27182E+03
    0.24047E-02    0.27639E+03
    0.24533E-02    0.28102E+03
    0.25028E-02    0.28571E+03
    0.25534E-02    0.29046E+03
    0.26050E-02    0.29526E+03
    0.26576E-02    0.30012E+03
    0.27113E-02    0.30504E+03
    0.27660E-02    0.31002E+03
    0.28219E-02    0.31505E+03
    0.28789E-02    0.32014E+03
    0.29371E-02    0.32529E+03
    0.29964E-02    0.33049E+03
    0.30569E-02    0.33575E+03
    0.31187E-02    0.34106E+03
    0.31817E-02    0.34643E+03
    0.32460E-02    0.35185E+03
    0.33115E-02    0.35732E+03
    0.33784E-02    0.36285E+03
    0.34467E-02    0.36842E+03
    0.35163E-02    0.37405E+03
    0.35874E-02    0.37973E+03
    0.36598E-02    0.38545E+03
    0.37338E-02    0.39122E+03
    0.38092E-02    0.39704E+03
    0.38861E-02    0.40291E+03
    0.39646E-02    0.40881E+03
    0.40447E-02    0.41476E+03
    0.41264E-02    0.42076E+03
    0.42098E-02    0.42679E+03
    0.42948E-02    0.43285E+03
    0.43816E-02    0.43896E+03
    0.44701E-02    0.44510E+03
    0.45604E-02    0.45127E+03
    0.46525E-02    0.45747E+03
    0.47465E-02    0.46370E+03
    0.48424E-02    0.46995E+03
    0.49402E-02    0.47623E+03
    0.50400E-02    0.48253E+03
    0.51419E-02    0.48885E+03
    0.52457E-02    0.49519E+03
    0.53517E-02    0.50154E+03
    0.54598E-02    0.50791E+03
    0.55701E-02    0.51428E+03
    0.56826E-02    0.52066E+03
    0.57974E-02    0.52703E+03
    0.59145E-02    0.53340E+03
    0.60340E-02    0.53977E+03
    0.61559E-02    0.54612E+03
    0.62803E-02    0.55246E+03
    0.64072E-02    0.55878E+03
    0.65366E-02    0.56509E+03
    0.66686E-02    0.57137E+03
    0.68033E-02    0.57762E+03
    0.69408E-02    0.58383E+03
    0.70810E-02    0.59001E+03
    0.72240E-02    0.59615E+03
    0.73700E-02    0.60223E+03
    0.75189E-02    0.60827E+03
    0.76708E-02    0.61425E+03
    0.78257E-02    0.62016E+03
    0.79838E-02    0.62600E+03
    0.81451E-02    0.63177E+03
    0.83096E-02    0.63747E+03
    0.84775E-02    0.64307E+03
    0.86488E-02    0.64859E+03
    0.88235E-02    0.65401E+03
    0.90017E-02    0.65932E+03
    0.91836E-02    0.66453E+03
    0.93691E-02    0.66962E+03
    0.95583E-02    0.67459E+03
    0.97514E-02    0.67942E+03
    0.99484E-02    0.68412E+03
    0.10149E-01    0.68868E+03
    0.10354E-01    0.69309E+03
    0.10564E-01    0.69734E+03
    0.10777E-01    0.70142E+03
    0.10995E-01    0.70533E+03
    0.11217E-01    0.70905E+03
    0.11443E-01    0.71258E+03
    0.11675E-01    0.71592E+03
    0.11910E-01    0.71905E+03
    0.12151E-01    0.72197E+03
    0.12397E-01    0.72467E+03
    0.12647E-01    0.72716E+03
    0.12902E-01    0.72942E+03
    0.13163E-01    0.73142E+03
    0.13429E-01    0.73316E+03
    0.13700E-01    0.73461E+03
    0.13977E-01    0.73575E+03
    0.14259E-01    0.73661E+03
    0.14547E-01    0.73721E+03
    0.14841E-01    0.73757E+03
    0.15141E-01    0.73774E+03
    0.15447E-01    0.73772E+03
    0.15759E-01    0.73750E+03
    0.16077E-01    0.73702E+03
    0.16402E-01    0.73620E+03
    0.16734E-01    0.73498E+03
    0.17072E-01    0.73332E+03
    0.17416E-01    0.73123E+03
    0.17768E-01    0.72872E+03
    0.18127E-01    0.72585E+03
    0.18493E-01    0.72264E+03
    0.18867E-01    0.71913E+03
    0.19248E-01    0.71531E+03
    0.19637E-01    0.71112E+03
    0.20034E-01    0.70654E+03
    0.20438E-01    0.70152E+03
    0.20851E-01    0.69605E+03
    0.21272E-01    0.69014E+03
    0.21702E-01    0.68384E+03
    0.22141E-01    0.67721E+03
    0.22588E-01    0.67028E+03
    0.23044E-01    0.66310E+03
    0.23510E-01    0.65568E+03
    0.23985E-01    0.64802E+03
    0.24469E-01    0.64012E+03
    0.24964E-01    0.63199E+03
    0.25468E-01    0.62363E+03
    0.25982E-01    0.61505E+03
    0.26507E-01    0.60624E+03
    0.27043E-01    0.59719E+03
    0.27589E-01    0.58792E+03
    0.28146E-01    0.57842E+03
    0.28715E-01    0.56872E+03
    0.29295E-01    0.55885E+03
    0.29887E-01    0.54884E+03
    0.30490E-01    0.53872E+03
    0.31106E-01    0.52851E+03
    0.31735E-01    0.51826E+03
    0.32376E-01    0.50800E+03
    0.33030E-01    0.49777E+03
    0.33697E-01    0.48761E+03
    0.34378E-01    0.47755E+03
    0.35072E-01    0.46762E+03
    0.35781E-01    0.45782E+03
    0.36504E-01    0.44820E+03
    0.37241E-01    0.43876E+03
    0.37993E-01    0.42952E+03
    0.38761E-01    0.42051E+03
    0.39544E-01    0.41173E+03
    0.40343E-01    0.40319E+03
    0.41158E-01    0.39491E+03
    0.41989E-01    0.38691E+03
    0.42838E-01    0.37920E+03
    0.43703E-01    0.37182E+03
    0.44586E-01    0.36480E+03
    0.45486E-01    0.35815E+03
    0.46405E-01    0.35186E+03
    0.47343E-01    0.34592E+03
    0.48299E-01    0.34029E+03
    0.49275E-01    0.33494E+03
    0.50270E-01    0.32984E+03
    0.51286E-01    0.32497E+03
    0.52322E-01    0.32030E+03
    0.53379E-01    0.31581E+03
    0.54457E-01    0.31148E+03
    0.55557E-01    0.30726E+03
    0.56680E-01    0.30314E+03
    0.57825E-01    0.29908E+03
    0.58993E-01    0.29504E+03
    0.60184E-01    0.29096E+03
    0.61400E-01    0.28681E+03
    0.62641E-01    0.28254E+03
    0.63906E-01    0.27807E+03
    0.65197E-01    0.27333E+03
    0.66514E-01    0.26827E+03
    0.67858E-01    0.26290E+03
    0.69229E-01    0.25728E+03
    0.70627E-01    0.25146E+03
    0.72054E-01    0.24540E+03
    0.73510E-01    0.23898E+03
    0.74994E-01    0.23213E+03
    0.76509E-01    0.22492E+03
    0.78055E-01    0.21750E+03
    0.79632E-01    0.20998E+03
    0.81241E-01    0.20242E+03
    0.82882E-01    0.19487E+03
    0.84556E-01    0.18738E+03
    0.86264E-01    0.18005E+03
    0.88007E-01    0.17293E+03
    0.89785E-01    0.16610E+03
    0.91598E-01    0.15964E+03
    0.93449E-01    0.15359E+03
    0.95337E-01    0.14801E+03
    0.97263E-01    0.14296E+03
    0.99227E-01    0.13844E+03
    0.10123E+00    0.13446E+03
    0.10328E+00    0.13098E+03
    0.10536E+00    0.12797E+03
    0.10749E+00    0.12536E+03
    0.10966E+00    0.12305E+03
    0.11188E+00    0.12096E+03
    0.11414E+00    0.11898E+03
    0.11644E+00    0.11702E+03
    0.11880E+00    0.11496E+03
    0.12120E+00    0.11274E+03
    0.12365E+00    0.11026E+03
    0.12614E+00    0.10749E+03
    0.12869E+00    0.10440E+03
    0.13129E+00    0.10099E+03
    0.13394E+00    0.97288E+02
    0.13665E+00    0.93362E+02
    0.13941E+00    0.89288E+02
    0.14223E+00    0.85169E+02
    0.14510E+00    0.81117E+02
    0.14803E+00    0.77253E+02
    0.15102E+00    0.73683E+02
    0.15407E+00    0.70493E+02
    0.15718E+00    0.67726E+02
    0.16036E+00    0.65382E+02
    0.16360E+00    0.63422E+02
    0.16690E+00    0.61781E+02
    0.17028E+00    0.60378E+02
    0.17371E+00    0.59118E+02
    0.17722E+00    0.57900E+02
    0.18080E+00    0.56613E+02
    0.18446E+00    0.55159E+02
    0.18818E+00    0.53476E+02
    0.19198E+00    0.51554E+02
    0.19586E+00    0.49441E+02
    0.19982E+00    0.47215E+02
    0.20386E+00    0.44966E+02
    0.20797E+00    0.42789E+02
    0.21218E+00    0.40771E+02
    0.21646E+00    0.38983E+02
    0.22083E+00    0.37456E+02
    0.22530E+00    0.36180E+02
    0.22985E+00    0.35106E+02
    0.23449E+00    0.34157E+02
    0.23923E+00    0.33246E+02
    0.24406E+00    0.32290E+02
    0.24899E+00    0.31232E+02
    0.25402E+00    0.30055E+02
    0.25915E+00    0.28785E+02
    0.26439E+00    0.27477E+02
    0.26973E+00    0.26196E+02
    0.27518E+00    0.25006E+02
    0.28074E+00    0.23950E+02
    0.28641E+00    0.23038E+02
    0.29219E+00    0.22243E+02
    0.29810E+00    0.21519E+02
    0.30412E+00    0.20813E+02
    0.31026E+00    0.20078E+02
    0.31653E+00    0.19297E+02
    0.32292E+00    0.18479E+02
    0.32945E+00    0.17660E+02
    0.33610E+00    0.16878E+02
    0.34289E+00    0.16161E+02
    0.34982E+00    0.15518E+02
    0.35689E+00    0.14936E+02
    0.36409E+00    0.14388E+02
    0.37145E+00    0.13846E+02
    0.37895E+00    0.13293E+02
    0.38661E+00    0.12733E+02
    0.39442E+00    0.12182E+02
    0.40239E+00    0.11658E+02
    0.41052E+00    0.11173E+02
    0.41881E+00    0.10724E+02
    0.42727E+00    0.10300E+02
    0.43590E+00    0.98871E+01
    0.44471E+00    0.94779E+01
    0.45369E+00    0.90742E+01
    0.46286E+00    0.86850E+01
    0.47221E+00    0.83170E+01
    0.48174E+00    0.79704E+01
    0.49148E+00    0.76414E+01
    0.50141E+00    0.73231E+01
    0.51153E+00    0.70126E+01
    0.52187E+00    0.67118E+01
    0.53241E+00    0.64237E+01
    0.54317E+00    0.61501E+01
    0.55414E+00    0.58893E+01
    0.56533E+00    0.56384E+01
    0.57675E+00    0.53959E+01
    0.58840E+00    0.51626E+01
    0.60029E+00    0.49393E+01
    0.61242E+00    0.47258E+01
    0.62479E+00    0.45214E+01
    0.63741E+00    0.43255E+01
    0.65029E+00    0.41375E+01
    0.66342E+00    0.39572E+01
    0.67683E+00    0.37843E+01
    0.69050E+00    0.36186E+01
    0.70445E+00    0.34597E+01
    0.71868E+00    0.33074E+01
    0.73320E+00    0.31614E+01
    0.74801E+00    0.30216E+01
    0.76312E+00    0.28877E+01
    0.77854E+00    0.27594E+01
    0.79426E+00    0.26366E+01
    0.81031E+00    0.25190E+01
    0.82668E+00    0.24064E+01
    0.84338E+00    0.22986E+01
    0.86041E+00    0.21955E+01
    0.87780E+00    0.20968E+01
    0.89553E+00    0.20024E+01
