#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.176142E-03   0.293654E+07   0.293653E+07   0.383441E+07   0.383296E+07   0.294055E+07   0.293656E+07   0.293654E+07   0.294578E+07  -0.599973E+00   0.292829E+07   0.292825E+07   0.116795E+03
   0.194493E-03   0.293637E+07   0.293636E+07   0.381665E+07   0.381489E+07   0.293927E+07   0.293639E+07   0.293637E+07   0.294556E+07  -0.599927E+00   0.292812E+07   0.292808E+07   0.128600E+03
   0.214755E-03   0.293617E+07   0.293615E+07   0.379509E+07   0.379296E+07   0.293770E+07   0.293617E+07   0.293617E+07   0.294530E+07  -0.599870E+00   0.292792E+07   0.292786E+07   0.141511E+03
   0.237129E-03   0.293592E+07   0.293590E+07   0.376897E+07   0.376638E+07   0.293580E+07   0.293592E+07   0.293592E+07   0.294498E+07  -0.599801E+00   0.292767E+07   0.292760E+07   0.155601E+03
   0.261834E-03   0.293561E+07   0.293559E+07   0.373735E+07   0.373422E+07   0.293348E+07   0.293560E+07   0.293561E+07   0.294458E+07  -0.599717E+00   0.292736E+07   0.292728E+07   0.170937E+03
   0.289112E-03   0.293524E+07   0.293522E+07   0.369913E+07   0.369535E+07   0.293066E+07   0.293522E+07   0.293524E+07   0.294411E+07  -0.599615E+00   0.292699E+07   0.292689E+07   0.187575E+03
   0.319233E-03   0.293479E+07   0.293476E+07   0.365302E+07   0.364847E+07   0.292723E+07   0.293475E+07   0.293479E+07   0.294353E+07  -0.599491E+00   0.292654E+07   0.292641E+07   0.205552E+03
   0.352491E-03   0.293424E+07   0.293420E+07   0.359754E+07   0.359207E+07   0.292306E+07   0.293418E+07   0.293423E+07   0.294283E+07  -0.599340E+00   0.292598E+07   0.292583E+07   0.224878E+03
   0.389215E-03   0.293357E+07   0.293353E+07   0.353097E+07   0.352442E+07   0.291799E+07   0.293349E+07   0.293357E+07   0.294198E+07  -0.599157E+00   0.292531E+07   0.292513E+07   0.245524E+03
   0.429764E-03   0.293276E+07   0.293270E+07   0.345136E+07   0.344354E+07   0.291184E+07   0.293265E+07   0.293275E+07   0.294095E+07  -0.598935E+00   0.292450E+07   0.292428E+07   0.267406E+03
   0.474538E-03   0.293178E+07   0.293171E+07   0.335659E+07   0.334730E+07   0.290438E+07   0.293163E+07   0.293176E+07   0.293970E+07  -0.598667E+00   0.292351E+07   0.292325E+07   0.290365E+03
   0.523976E-03   0.293058E+07   0.293050E+07   0.324437E+07   0.323339E+07   0.289535E+07   0.293040E+07   0.293057E+07   0.293819E+07  -0.598343E+00   0.292231E+07   0.292200E+07   0.314146E+03
   0.578566E-03   0.292913E+07   0.292903E+07   0.311233E+07   0.309946E+07   0.288443E+07   0.292890E+07   0.292912E+07   0.293638E+07  -0.597953E+00   0.292085E+07   0.292048E+07   0.338367E+03
   0.638842E-03   0.292738E+07   0.292726E+07   0.295824E+07   0.294328E+07   0.287119E+07   0.292709E+07   0.292736E+07   0.293420E+07  -0.597483E+00   0.291909E+07   0.291865E+07   0.362492E+03
   0.705398E-03   0.292526E+07   0.292512E+07   0.278020E+07   0.276297E+07   0.285531E+07   0.292491E+07   0.292524E+07   0.293158E+07  -0.596919E+00   0.291695E+07   0.291644E+07   0.385795E+03
   0.778888E-03   0.292271E+07   0.292254E+07   0.257698E+07   0.255740E+07   0.283622E+07   0.292227E+07   0.292268E+07   0.292845E+07  -0.596245E+00   0.291437E+07   0.291377E+07   0.407338E+03
   0.860035E-03   0.291964E+07   0.291943E+07   0.234857E+07   0.232664E+07   0.281336E+07   0.291910E+07   0.291961E+07   0.292473E+07  -0.595442E+00   0.291127E+07   0.291057E+07   0.425957E+03
   0.949635E-03   0.291595E+07   0.291571E+07   0.209668E+07   0.207257E+07   0.278608E+07   0.291530E+07   0.291591E+07   0.292032E+07  -0.594489E+00   0.290753E+07   0.290674E+07   0.440272E+03
   0.104857E-02   0.291154E+07   0.291126E+07   0.182549E+07   0.179956E+07   0.275368E+07   0.291075E+07   0.291150E+07   0.291512E+07  -0.593365E+00   0.290305E+07   0.290216E+07   0.448747E+03
   0.115781E-02   0.290629E+07   0.290596E+07   0.154226E+07   0.151506E+07   0.271542E+07   0.290533E+07   0.290623E+07   0.290901E+07  -0.592046E+00   0.289770E+07   0.289671E+07   0.449813E+03
   0.127844E-02   0.290005E+07   0.289967E+07   0.125771E+07   0.122998E+07   0.267045E+07   0.289890E+07   0.289999E+07   0.290190E+07  -0.590510E+00   0.289133E+07   0.289026E+07   0.442086E+03
   0.141163E-02   0.289268E+07   0.289224E+07   0.985845E+06   0.958424E+06   0.261816E+07   0.289130E+07   0.289261E+07   0.289365E+07  -0.588731E+00   0.288380E+07   0.288266E+07   0.424684E+03
