#           k/h    P           
    0.10000E-03    0.25129E+02
    0.10202E-03    0.25616E+02
    0.10408E-03    0.26113E+02
    0.10618E-03    0.26619E+02
    0.10833E-03    0.27134E+02
    0.11052E-03    0.27660E+02
    0.11275E-03    0.28196E+02
    0.11503E-03    0.28742E+02
    0.11735E-03    0.29299E+02
    0.11972E-03    0.29867E+02
    0.12214E-03    0.30446E+02
    0.12461E-03    0.31035E+02
    0.12712E-03    0.31637E+02
    0.12969E-03    0.32249E+02
    0.13231E-03    0.32874E+02
    0.13499E-03    0.33511E+02
    0.13771E-03    0.34160E+02
    0.14049E-03    0.34822E+02
    0.14333E-03    0.35496E+02
    0.14623E-03    0.36184E+02
    0.14918E-03    0.36885E+02
    0.15220E-03    0.37599E+02
    0.15527E-03    0.38327E+02
    0.15841E-03    0.39069E+02
    0.16161E-03    0.39826E+02
    0.16487E-03    0.40597E+02
    0.16820E-03    0.41383E+02
    0.17160E-03    0.42185E+02
    0.17507E-03    0.43001E+02
    0.17860E-03    0.43834E+02
    0.18221E-03    0.44682E+02
    0.18589E-03    0.45547E+02
    0.18965E-03    0.46429E+02
    0.19348E-03    0.47328E+02
    0.19739E-03    0.48244E+02
    0.20138E-03    0.49177E+02
    0.20544E-03    0.50129E+02
    0.20959E-03    0.51099E+02
    0.21383E-03    0.52088E+02
    0.21815E-03    0.53096E+02
    0.22255E-03    0.54123E+02
    0.22705E-03    0.55170E+02
    0.23164E-03    0.56237E+02
    0.23632E-03    0.57325E+02
    0.24109E-03    0.58434E+02
    0.24596E-03    0.59564E+02
    0.25093E-03    0.60715E+02
    0.25600E-03    0.61889E+02
    0.26117E-03    0.63086E+02
    0.26645E-03    0.64305E+02
    0.27183E-03    0.65548E+02
    0.27732E-03    0.66815E+02
    0.28292E-03    0.68106E+02
    0.28864E-03    0.69422E+02
    0.29447E-03    0.70763E+02
    0.30042E-03    0.72130E+02
    0.30649E-03    0.73523E+02
    0.31268E-03    0.74942E+02
    0.31899E-03    0.76389E+02
    0.32544E-03    0.77864E+02
    0.33201E-03    0.79367E+02
    0.33872E-03    0.80898E+02
    0.34556E-03    0.82459E+02
    0.35254E-03    0.84049E+02
    0.35966E-03    0.85670E+02
    0.36693E-03    0.87322E+02
    0.37434E-03    0.89006E+02
    0.38190E-03    0.90721E+02
    0.38962E-03    0.92469E+02
    0.39749E-03    0.94250E+02
    0.40552E-03    0.96066E+02
    0.41371E-03    0.97915E+02
    0.42207E-03    0.99800E+02
    0.43060E-03    0.10172E+03
    0.43929E-03    0.10368E+03
    0.44817E-03    0.10567E+03
    0.45722E-03    0.10770E+03
    0.46646E-03    0.10977E+03
    0.47588E-03    0.11188E+03
    0.48550E-03    0.11403E+03
    0.49530E-03    0.11622E+03
    0.50531E-03    0.11845E+03
    0.51552E-03    0.12072E+03
    0.52593E-03    0.12304E+03
    0.53656E-03    0.12540E+03
    0.54739E-03    0.12780E+03
    0.55845E-03    0.13025E+03
    0.56973E-03    0.13274E+03
    0.58124E-03    0.13528E+03
    0.59299E-03    0.13787E+03
    0.60496E-03    0.14050E+03
    0.61719E-03    0.14319E+03
    0.62965E-03    0.14592E+03
    0.64237E-03    0.14870E+03
    0.65535E-03    0.15154E+03
    0.66859E-03    0.15443E+03
    0.68210E-03    0.15737E+03
    0.69588E-03    0.16036E+03
    0.70993E-03    0.16341E+03
    0.72427E-03    0.16652E+03
    0.73891E-03    0.16968E+03
    0.75383E-03    0.17290E+03
