#           k/h    P           
    0.27043E-01    0.47253E+03
    0.27589E-01    0.46519E+03
    0.28146E-01    0.45768E+03
    0.28715E-01    0.45000E+03
    0.29295E-01    0.44220E+03
    0.29887E-01    0.43428E+03
    0.30490E-01    0.42627E+03
    0.31106E-01    0.41819E+03
    0.31735E-01    0.41008E+03
    0.32376E-01    0.40197E+03
    0.33030E-01    0.39388E+03
    0.33697E-01    0.38584E+03
    0.34378E-01    0.37788E+03
    0.35072E-01    0.37002E+03
    0.35781E-01    0.36227E+03
    0.36504E-01    0.35466E+03
    0.37241E-01    0.34719E+03
    0.37993E-01    0.33988E+03
    0.38761E-01    0.33275E+03
    0.39544E-01    0.32580E+03
    0.40343E-01    0.31905E+03
    0.41158E-01    0.31250E+03
    0.41989E-01    0.30616E+03
    0.42838E-01    0.30007E+03
    0.43703E-01    0.29423E+03
    0.44586E-01    0.28867E+03
    0.45486E-01    0.28341E+03
    0.46405E-01    0.27844E+03
    0.47343E-01    0.27374E+03
    0.48299E-01    0.26928E+03
    0.49275E-01    0.26505E+03
    0.50270E-01    0.26101E+03
    0.51286E-01    0.25716E+03
    0.52322E-01    0.25346E+03
    0.53379E-01    0.24991E+03
    0.54457E-01    0.24648E+03
    0.55557E-01    0.24315E+03
    0.56680E-01    0.23988E+03
    0.57825E-01    0.23667E+03
    0.58993E-01    0.23347E+03
    0.60184E-01    0.23025E+03
    0.61400E-01    0.22697E+03
    0.62641E-01    0.22358E+03
    0.63906E-01    0.22004E+03
    0.65197E-01    0.21629E+03
    0.66514E-01    0.21229E+03
    0.67858E-01    0.20804E+03
    0.69229E-01    0.20359E+03
    0.70627E-01    0.19899E+03
    0.72054E-01    0.19419E+03
    0.73510E-01    0.18912E+03
    0.74994E-01    0.18370E+03
    0.76509E-01    0.17799E+03
    0.78055E-01    0.17212E+03
    0.79632E-01    0.16617E+03
    0.81241E-01    0.16019E+03
    0.82882E-01    0.15421E+03
    0.84556E-01    0.14829E+03
    0.86264E-01    0.14248E+03
    0.88007E-01    0.13685E+03
    0.89785E-01    0.13145E+03
    0.91598E-01    0.12633E+03
    0.93449E-01    0.12154E+03
    0.95337E-01    0.11713E+03
    0.97263E-01    0.11313E+03
    0.99227E-01    0.10956E+03
    0.10123E+00    0.10640E+03
    0.10328E+00    0.10366E+03
    0.10536E+00    0.10127E+03
    0.10749E+00    0.99202E+02
    0.10966E+00    0.97380E+02
    0.11188E+00    0.95725E+02
    0.11414E+00    0.94160E+02
    0.11644E+00    0.92603E+02
    0.11880E+00    0.90978E+02
    0.12120E+00    0.89215E+02
    0.12365E+00    0.87257E+02
    0.12614E+00    0.85065E+02
    0.12869E+00    0.82617E+02
    0.13129E+00    0.79917E+02
    0.13394E+00    0.76990E+02
    0.13665E+00    0.73883E+02
    0.13941E+00    0.70659E+02
    0.14223E+00    0.67400E+02
    0.14510E+00    0.64193E+02
    0.14803E+00    0.61135E+02
    0.15102E+00    0.58311E+02
    0.15407E+00    0.55786E+02
    0.15718E+00    0.53596E+02
    0.16036E+00    0.51741E+02
    0.16360E+00    0.50190E+02
    0.16690E+00    0.48892E+02
    0.17028E+00    0.47781E+02
    0.17371E+00    0.46784E+02
    0.17722E+00    0.45820E+02
    0.18080E+00    0.44802E+02
    0.18446E+00    0.43651E+02
    0.18818E+00    0.42319E+02
    0.19198E+00    0.40799E+02
    0.19586E+00    0.39126E+02
    0.19982E+00    0.37364E+02
    0.20386E+00    0.35585E+02
    0.20797E+00    0.33862E+02
    0.21218E+00    0.32265E+02
    0.21646E+00    0.30850E+02
    0.22083E+00    0.29642E+02
    0.22530E+00    0.28632E+02
    0.22985E+00    0.27782E+02
    0.23449E+00    0.27030E+02
    0.23923E+00    0.26310E+02
    0.24406E+00    0.25554E+02
    0.24899E+00    0.24716E+02
    0.25402E+00    0.23785E+02
    0.25915E+00    0.22780E+02
    0.26439E+00    0.21745E+02
    0.26973E+00    0.20731E+02
    0.27518E+00    0.19789E+02
    0.28074E+00    0.18953E+02
    0.28641E+00    0.18231E+02
    0.29219E+00    0.17603E+02
    0.29810E+00    0.17030E+02
    0.30412E+00    0.16470E+02
    0.31026E+00    0.15889E+02
    0.31653E+00    0.15271E+02
    0.32292E+00    0.14624E+02
    0.32945E+00    0.13976E+02
    0.33610E+00    0.13357E+02
    0.34289E+00    0.12789E+02
    0.34982E+00    0.12281E+02
    0.35689E+00    0.11820E+02
    0.36409E+00    0.11386E+02
    0.37145E+00    0.10957E+02
    0.37895E+00    0.10520E+02
    0.38661E+00    0.10076E+02
    0.39442E+00    0.96404E+01
    0.40239E+00    0.92261E+01
    0.41052E+00    0.88418E+01
    0.41881E+00    0.84869E+01
    0.42727E+00    0.81513E+01
    0.43590E+00    0.78244E+01
    0.44471E+00    0.75005E+01
    0.45369E+00    0.71811E+01
    0.46286E+00    0.68731E+01
    0.47221E+00    0.65818E+01
    0.48174E+00    0.63076E+01
    0.49148E+00    0.60472E+01
    0.50141E+00    0.57953E+01
    0.51153E+00    0.55496E+01
    0.52187E+00    0.53116E+01
    0.53241E+00    0.50835E+01
    0.54317E+00    0.48670E+01
    0.55414E+00    0.46606E+01
    0.56533E+00    0.44621E+01
    0.57675E+00    0.42702E+01
    0.58840E+00    0.40856E+01
    0.60029E+00    0.39088E+01
    0.61242E+00    0.37399E+01
    0.62479E+00    0.35781E+01
    0.63741E+00    0.34231E+01
    0.65029E+00    0.32743E+01
    0.66342E+00    0.31316E+01
    0.67683E+00    0.29948E+01
    0.69050E+00    0.28636E+01
    0.70445E+00    0.27379E+01
    0.71868E+00    0.26174E+01
    0.73320E+00    0.25019E+01
    0.74801E+00    0.23912E+01
    0.76312E+00    0.22852E+01
    0.77854E+00    0.21837E+01
    0.79426E+00    0.20865E+01
    0.81031E+00    0.19934E+01
    0.82668E+00    0.19043E+01
    0.84338E+00    0.18191E+01
    0.86041E+00    0.17375E+01
    0.87780E+00    0.16594E+01
    0.89553E+00    0.15847E+01
    0.91362E+00    0.15132E+01
    0.93208E+00    0.14448E+01
    0.95091E+00    0.13795E+01
    0.97011E+00    0.13169E+01
    0.98971E+00    0.12571E+01
    0.10097E+01    0.12000E+01
    0.10301E+01    0.11453E+01
    0.10509E+01    0.10931E+01
    0.10721E+01    0.10431E+01
    0.10938E+01    0.99536E+00
    0.11159E+01    0.94973E+00
    0.11384E+01    0.90613E+00
    0.11614E+01    0.86446E+00
    0.11849E+01    0.82464E+00
    0.12088E+01    0.78661E+00
    0.12333E+01    0.75027E+00
    0.12582E+01    0.71556E+00
    0.12836E+01    0.68240E+00
    0.13095E+01    0.65073E+00
    0.13360E+01    0.62049E+00
    0.13630E+01    0.59160E+00
    0.13905E+01    0.56402E+00
    0.14186E+01    0.53769E+00
    0.14472E+01    0.51254E+00
    0.14765E+01    0.48854E+00
    0.15063E+01    0.46562E+00
    0.15367E+01    0.44374E+00
    0.15678E+01    0.42286E+00
    0.15994E+01    0.40293E+00
    0.16318E+01    0.38392E+00
    0.16647E+01    0.36576E+00
    0.16984E+01    0.34844E+00
    0.17327E+01    0.33192E+00
    0.17677E+01    0.31615E+00
    0.18034E+01    0.30111E+00
    0.18398E+01    0.28677E+00
    0.18770E+01    0.27309E+00
    0.19149E+01    0.26006E+00
    0.19536E+01    0.24763E+00
    0.19930E+01    0.23578E+00
    0.20333E+01    0.22449E+00
    0.20744E+01    0.21373E+00
    0.21163E+01    0.20348E+00
    0.21590E+01    0.19372E+00
    0.22026E+01    0.18442E+00
    0.22471E+01    0.17557E+00
    0.22925E+01    0.16713E+00
    0.23388E+01    0.15911E+00
    0.23861E+01    0.15146E+00
