#           k/h    P           
    0.10000E-03    0.11167E+02
    0.10202E-03    0.11383E+02
    0.10408E-03    0.11604E+02
    0.10618E-03    0.11829E+02
    0.10833E-03    0.12058E+02
    0.11052E-03    0.12292E+02
    0.11275E-03    0.12530E+02
    0.11503E-03    0.12773E+02
    0.11735E-03    0.13020E+02
    0.11972E-03    0.13272E+02
    0.12214E-03    0.13529E+02
    0.12461E-03    0.13792E+02
    0.12712E-03    0.14059E+02
    0.12969E-03    0.14331E+02
    0.13231E-03    0.14609E+02
    0.13499E-03    0.14892E+02
    0.13771E-03    0.15180E+02
    0.14049E-03    0.15474E+02
    0.14333E-03    0.15774E+02
    0.14623E-03    0.16080E+02
    0.14918E-03    0.16391E+02
    0.15220E-03    0.16709E+02
    0.15527E-03    0.17032E+02
    0.15841E-03    0.17362E+02
    0.16161E-03    0.17698E+02
    0.16487E-03    0.18041E+02
    0.16820E-03    0.18391E+02
    0.17160E-03    0.18747E+02
    0.17507E-03    0.19110E+02
    0.17860E-03    0.19480E+02
    0.18221E-03    0.19857E+02
    0.18589E-03    0.20241E+02
    0.18965E-03    0.20633E+02
    0.19348E-03    0.21033E+02
    0.19739E-03    0.21440E+02
    0.20138E-03    0.21855E+02
    0.20544E-03    0.22278E+02
    0.20959E-03    0.22709E+02
    0.21383E-03    0.23149E+02
    0.21815E-03    0.23597E+02
    0.22255E-03    0.24053E+02
    0.22705E-03    0.24519E+02
    0.23164E-03    0.24993E+02
    0.23632E-03    0.25476E+02
    0.24109E-03    0.25969E+02
    0.24596E-03    0.26472E+02
    0.25093E-03    0.26984E+02
    0.25600E-03    0.27506E+02
    0.26117E-03    0.28037E+02
    0.26645E-03    0.28580E+02
    0.27183E-03    0.29132E+02
    0.27732E-03    0.29695E+02
    0.28292E-03    0.30269E+02
    0.28864E-03    0.30854E+02
    0.29447E-03    0.31451E+02
    0.30042E-03    0.32058E+02
    0.30649E-03    0.32678E+02
    0.31268E-03    0.33309E+02
    0.31899E-03    0.33952E+02
    0.32544E-03    0.34608E+02
    0.33201E-03    0.35276E+02
    0.33872E-03    0.35957E+02
    0.34556E-03    0.36651E+02
    0.35254E-03    0.37359E+02
    0.35966E-03    0.38080E+02
    0.36693E-03    0.38814E+02
    0.37434E-03    0.39563E+02
    0.38190E-03    0.40326E+02
    0.38962E-03    0.41103E+02
    0.39749E-03    0.41896E+02
    0.40552E-03    0.42703E+02
    0.41371E-03    0.43526E+02
    0.42207E-03    0.44364E+02
    0.43060E-03    0.45219E+02
    0.43929E-03    0.46089E+02
    0.44817E-03    0.46977E+02
    0.45722E-03    0.47880E+02
    0.46646E-03    0.48802E+02
    0.47588E-03    0.49740E+02
    0.48550E-03    0.50696E+02
    0.49530E-03    0.51670E+02
    0.50531E-03    0.52663E+02
    0.51552E-03    0.53675E+02
    0.52593E-03    0.54705E+02
    0.53656E-03    0.55755E+02
    0.54739E-03    0.56824E+02
    0.55845E-03    0.57914E+02
    0.56973E-03    0.59024E+02
    0.58124E-03    0.60154E+02
    0.59299E-03    0.61306E+02
    0.60496E-03    0.62480E+02
    0.61719E-03    0.63675E+02
    0.62965E-03    0.64892E+02
    0.64237E-03    0.66132E+02
    0.65535E-03    0.67395E+02
    0.66859E-03    0.68681E+02
    0.68210E-03    0.69992E+02
    0.69588E-03    0.71326E+02
    0.70993E-03    0.72685E+02
    0.72427E-03    0.74068E+02
    0.73891E-03    0.75477E+02
    0.75383E-03    0.76912E+02
    0.76906E-03    0.78373E+02
    0.78460E-03    0.79861E+02
    0.80045E-03    0.81376E+02
    0.81662E-03    0.82918E+02
    0.83311E-03    0.84487E+02
    0.84994E-03    0.86086E+02
    0.86711E-03    0.87712E+02
    0.88463E-03    0.89368E+02
    0.90250E-03    0.91054E+02
    0.92073E-03    0.92770E+02
    0.93933E-03    0.94516E+02
    0.95831E-03    0.96292E+02
    0.97767E-03    0.98101E+02
    0.99742E-03    0.99941E+02
    0.10176E-02    0.10181E+03
    0.10381E-02    0.10372E+03
    0.10591E-02    0.10566E+03
    0.10805E-02    0.10763E+03
    0.11023E-02    0.10963E+03
    0.11246E-02    0.11167E+03
    0.11473E-02    0.11375E+03
    0.11705E-02    0.11586E+03
    0.11941E-02    0.11800E+03
    0.12182E-02    0.12018E+03
    0.12429E-02    0.12240E+03
    0.12680E-02    0.12466E+03
    0.12936E-02    0.12695E+03
    0.13197E-02    0.12928E+03
    0.13464E-02    0.13165E+03
    0.13736E-02    0.13406E+03
    0.14013E-02    0.13650E+03
    0.14296E-02    0.13899E+03
    0.14585E-02    0.14151E+03
    0.14880E-02    0.14408E+03
    0.15180E-02    0.14669E+03
    0.15487E-02    0.14933E+03
    0.15800E-02    0.15202E+03
    0.16119E-02    0.15475E+03
    0.16445E-02    0.15752E+03
    0.16777E-02    0.16034E+03
    0.17116E-02    0.16320E+03
    0.17462E-02    0.16610E+03
    0.17814E-02    0.16904E+03
    0.18174E-02    0.17203E+03
    0.18541E-02    0.17506E+03
    0.18916E-02    0.17813E+03
    0.19298E-02    0.18125E+03
    0.19688E-02    0.18441E+03
    0.20086E-02    0.18762E+03
    0.20491E-02    0.19088E+03
    0.20905E-02    0.19418E+03
    0.21328E-02    0.19752E+03
    0.21758E-02    0.20091E+03
    0.22198E-02    0.20434E+03
    0.22646E-02    0.20782E+03
    0.23104E-02    0.21135E+03
    0.23571E-02    0.21492E+03
    0.24047E-02    0.21854E+03
    0.24533E-02    0.22220E+03
    0.25028E-02    0.22591E+03
    0.25534E-02    0.22967E+03
    0.26050E-02    0.23347E+03
    0.26576E-02    0.23731E+03
    0.27113E-02    0.24121E+03
    0.27660E-02    0.24514E+03
    0.28219E-02    0.24913E+03
    0.28789E-02    0.25315E+03
    0.29371E-02    0.25722E+03
    0.29964E-02    0.26134E+03
    0.30569E-02    0.26550E+03
    0.31187E-02    0.26970E+03
    0.31817E-02    0.27395E+03
    0.32460E-02    0.27824E+03
    0.33115E-02    0.28257E+03
    0.33784E-02    0.28694E+03
    0.34467E-02    0.29135E+03
    0.35163E-02    0.29580E+03
    0.35874E-02    0.30030E+03
    0.36598E-02    0.30483E+03
    0.37338E-02    0.30939E+03
    0.38092E-02    0.31400E+03
    0.38861E-02    0.31864E+03
    0.39646E-02    0.32331E+03
    0.40447E-02    0.32802E+03
    0.41264E-02    0.33276E+03
    0.42098E-02    0.33753E+03
    0.42948E-02    0.34233E+03
    0.43816E-02    0.34716E+03
    0.44701E-02    0.35202E+03
    0.45604E-02    0.35690E+03
    0.46525E-02    0.36181E+03
    0.47465E-02    0.36674E+03
    0.48424E-02    0.37168E+03
    0.49402E-02    0.37665E+03
    0.50400E-02    0.38164E+03
    0.51419E-02    0.38664E+03
    0.52457E-02    0.39166E+03
    0.53517E-02    0.39669E+03
    0.54598E-02    0.40172E+03
    0.55701E-02    0.40677E+03
    0.56826E-02    0.41181E+03
    0.57974E-02    0.41686E+03
    0.59145E-02    0.42190E+03
    0.60340E-02    0.42693E+03
    0.61559E-02    0.43196E+03
    0.62803E-02    0.43698E+03
    0.64072E-02    0.44198E+03
    0.65366E-02    0.44697E+03
    0.66686E-02    0.45194E+03
    0.68033E-02    0.45689E+03
    0.69408E-02    0.46181E+03
    0.70810E-02    0.46670E+03
    0.72240E-02    0.47155E+03
    0.73700E-02    0.47637E+03
    0.75189E-02    0.48115E+03
    0.76708E-02    0.48588E+03
    0.78257E-02    0.49056E+03
    0.79838E-02    0.49518E+03
    0.81451E-02    0.49975E+03
    0.83096E-02    0.50426E+03
    0.84775E-02    0.50869E+03
    0.86488E-02    0.51306E+03
    0.88235E-02    0.51735E+03
    0.90017E-02    0.52156E+03
    0.91836E-02    0.52568E+03
    0.93691E-02    0.52971E+03
    0.95583E-02    0.53364E+03
    0.97514E-02    0.53747E+03
    0.99484E-02    0.54119E+03
    0.10149E-01    0.54480E+03
    0.10354E-01    0.54829E+03
    0.10564E-01    0.55165E+03
    0.10777E-01    0.55488E+03
    0.10995E-01    0.55798E+03
    0.11217E-01    0.56093E+03
    0.11443E-01    0.56372E+03
    0.11675E-01    0.56636E+03
    0.11910E-01    0.56884E+03
    0.12151E-01    0.57116E+03
    0.12397E-01    0.57330E+03
    0.12647E-01    0.57527E+03
    0.12902E-01    0.57706E+03
    0.13163E-01    0.57865E+03
    0.13429E-01    0.58002E+03
    0.13700E-01    0.58117E+03
    0.13977E-01    0.58209E+03
    0.14259E-01    0.58277E+03
    0.14547E-01    0.58324E+03
    0.14841E-01    0.58353E+03
    0.15141E-01    0.58366E+03
    0.15447E-01    0.58366E+03
    0.15759E-01    0.58349E+03
    0.16077E-01    0.58310E+03
    0.16402E-01    0.58246E+03
    0.16734E-01    0.58150E+03
    0.17072E-01    0.58019E+03
    0.17416E-01    0.57853E+03
    0.17768E-01    0.57655E+03
    0.18127E-01    0.57428E+03
    0.18493E-01    0.57175E+03
    0.18867E-01    0.56898E+03
    0.19248E-01    0.56595E+03
    0.19637E-01    0.56264E+03
    0.20034E-01    0.55902E+03
    0.20438E-01    0.55505E+03
    0.20851E-01    0.55072E+03
    0.21272E-01    0.54605E+03
    0.21702E-01    0.54107E+03
    0.22141E-01    0.53582E+03
    0.22588E-01    0.53035E+03
    0.23044E-01    0.52467E+03
    0.23510E-01    0.51879E+03
    0.23985E-01    0.51273E+03
    0.24469E-01    0.50649E+03
    0.24964E-01    0.50006E+03
    0.25468E-01    0.49345E+03
    0.25982E-01    0.48666E+03
    0.26507E-01    0.47969E+03
