#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.240133E+07   0.240133E+07   0.320160E+07   0.320160E+07   0.241191E+07   0.240138E+07   0.240133E+07   0.241079E+07  -0.600483E+00   0.239626E+07   0.239626E+07   0.255951E+01
   0.109829E-04   0.240133E+07   0.240133E+07   0.320156E+07   0.320156E+07   0.241191E+07   0.240138E+07   0.240133E+07   0.241079E+07  -0.600483E+00   0.239626E+07   0.239626E+07   0.282615E+01
   0.121272E-04   0.240133E+07   0.240133E+07   0.320151E+07   0.320151E+07   0.241190E+07   0.240138E+07   0.240133E+07   0.241079E+07  -0.600483E+00   0.239626E+07   0.239626E+07   0.312055E+01
   0.133906E-04   0.240133E+07   0.240133E+07   0.320146E+07   0.320145E+07   0.241190E+07   0.240138E+07   0.240133E+07   0.241079E+07  -0.600483E+00   0.239626E+07   0.239626E+07   0.344562E+01
   0.147857E-04   0.240133E+07   0.240133E+07   0.320139E+07   0.320138E+07   0.241189E+07   0.240138E+07   0.240133E+07   0.241079E+07  -0.600482E+00   0.239626E+07   0.239626E+07   0.380454E+01
   0.163261E-04   0.240133E+07   0.240133E+07   0.320130E+07   0.320129E+07   0.241188E+07   0.240138E+07   0.240133E+07   0.241078E+07  -0.600482E+00   0.239626E+07   0.239626E+07   0.420083E+01
   0.180270E-04   0.240132E+07   0.240132E+07   0.320120E+07   0.320119E+07   0.241187E+07   0.240138E+07   0.240132E+07   0.241078E+07  -0.600482E+00   0.239626E+07   0.239626E+07   0.463839E+01
   0.199051E-04   0.240132E+07   0.240132E+07   0.320107E+07   0.320106E+07   0.241186E+07   0.240137E+07   0.240132E+07   0.241078E+07  -0.600481E+00   0.239626E+07   0.239626E+07   0.512150E+01
   0.219788E-04   0.240132E+07   0.240132E+07   0.320092E+07   0.320090E+07   0.241185E+07   0.240137E+07   0.240132E+07   0.241078E+07  -0.600480E+00   0.239625E+07   0.239625E+07   0.565489E+01
   0.242687E-04   0.240132E+07   0.240132E+07   0.320073E+07   0.320071E+07   0.241183E+07   0.240137E+07   0.240132E+07   0.241078E+07  -0.600480E+00   0.239625E+07   0.239625E+07   0.624380E+01
   0.267970E-04   0.240132E+07   0.240132E+07   0.320050E+07   0.320048E+07   0.241181E+07   0.240137E+07   0.240132E+07   0.241077E+07  -0.600479E+00   0.239625E+07   0.239625E+07   0.689397E+01
   0.295888E-04   0.240131E+07   0.240131E+07   0.320022E+07   0.320019E+07   0.241178E+07   0.240136E+07   0.240131E+07   0.241077E+07  -0.600478E+00   0.239625E+07   0.239625E+07   0.761178E+01
   0.326714E-04   0.240131E+07   0.240131E+07   0.319988E+07   0.319985E+07   0.241175E+07   0.240136E+07   0.240131E+07   0.241076E+07  -0.600477E+00   0.239624E+07   0.239624E+07   0.840422E+01
   0.360752E-04   0.240131E+07   0.240131E+07   0.319946E+07   0.319943E+07   0.241171E+07   0.240136E+07   0.240131E+07   0.241076E+07  -0.600475E+00   0.239624E+07   0.239624E+07   0.927901E+01
   0.398336E-04   0.240130E+07   0.240130E+07   0.319895E+07   0.319891E+07   0.241167E+07   0.240135E+07   0.240130E+07   0.241075E+07  -0.600473E+00   0.239623E+07   0.239623E+07   0.102447E+02
   0.439836E-04   0.240129E+07   0.240129E+07   0.319833E+07   0.319828E+07   0.241161E+07   0.240134E+07   0.240129E+07   0.241074E+07  -0.600471E+00   0.239623E+07   0.239623E+07   0.113106E+02
   0.485659E-04   0.240129E+07   0.240129E+07   0.319758E+07   0.319752E+07   0.241154E+07   0.240134E+07   0.240129E+07   0.241073E+07  -0.600468E+00   0.239622E+07   0.239622E+07   0.124871E+02
   0.536256E-04   0.240128E+07   0.240128E+07   0.319666E+07   0.319659E+07   0.241146E+07   0.240132E+07   0.240128E+07   0.241072E+07  -0.600465E+00   0.239621E+07   0.239621E+07   0.137855E+02
   0.592125E-04   0.240126E+07   0.240126E+07   0.319554E+07   0.319545E+07   0.241136E+07   0.240131E+07   0.240126E+07   0.241070E+07  -0.600461E+00   0.239620E+07   0.239620E+07   0.152183E+02
   0.653814E-04   0.240125E+07   0.240125E+07   0.319417E+07   0.319407E+07   0.241123E+07   0.240130E+07   0.240125E+07   0.241068E+07  -0.600456E+00   0.239618E+07   0.239618E+07   0.167991E+02
   0.721930E-04   0.240123E+07   0.240123E+07   0.319251E+07   0.319238E+07   0.241108E+07   0.240128E+07   0.240123E+07   0.241066E+07  -0.600449E+00   0.239616E+07   0.239616E+07   0.185431E+02
   0.797142E-04   0.240121E+07   0.240121E+07   0.319048E+07   0.319032E+07   0.241089E+07   0.240126E+07   0.240121E+07   0.241063E+07  -0.600442E+00   0.239614E+07   0.239614E+07   0.204666E+02
   0.880190E-04   0.240118E+07   0.240118E+07   0.318801E+07   0.318782E+07   0.241067E+07   0.240123E+07   0.240118E+07   0.241060E+07  -0.600433E+00   0.239612E+07   0.239611E+07   0.225877E+02
   0.971891E-04   0.240115E+07   0.240115E+07   0.318500E+07   0.318477E+07   0.241039E+07   0.240120E+07   0.240115E+07   0.241055E+07  -0.600422E+00   0.239608E+07   0.239608E+07   0.249258E+02
   0.107314E-03   0.240111E+07   0.240111E+07   0.318134E+07   0.318105E+07   0.241006E+07   0.240115E+07   0.240111E+07   0.241050E+07  -0.600408E+00   0.239604E+07   0.239604E+07   0.275024E+02
   0.118495E-03   0.240106E+07   0.240106E+07   0.317687E+07   0.317652E+07   0.240965E+07   0.240110E+07   0.240106E+07   0.241044E+07  -0.600392E+00   0.239600E+07   0.239599E+07   0.303404E+02
   0.130840E-03   0.240100E+07   0.240100E+07   0.317144E+07   0.317101E+07   0.240915E+07   0.240104E+07   0.240100E+07   0.241036E+07  -0.600371E+00   0.239594E+07   0.239593E+07   0.334646E+02
   0.144471E-03   0.240093E+07   0.240093E+07   0.316482E+07   0.316430E+07   0.240854E+07   0.240097E+07   0.240093E+07   0.241027E+07  -0.600347E+00   0.239586E+07   0.239586E+07   0.369016E+02
   0.159522E-03   0.240085E+07   0.240084E+07   0.315678E+07   0.315614E+07   0.240780E+07   0.240088E+07   0.240085E+07   0.241016E+07  -0.600317E+00   0.239578E+07   0.239577E+07   0.406798E+02
   0.176142E-03   0.240074E+07   0.240074E+07   0.314699E+07   0.314622E+07   0.240690E+07   0.240077E+07   0.240074E+07   0.241002E+07  -0.600280E+00   0.239567E+07   0.239566E+07   0.448287E+02
   0.194493E-03   0.240061E+07   0.240061E+07   0.313510E+07   0.313416E+07   0.240580E+07   0.240063E+07   0.240061E+07   0.240985E+07  -0.600236E+00   0.239554E+07   0.239553E+07   0.493793E+02
   0.214755E-03   0.240045E+07   0.240045E+07   0.312065E+07   0.311952E+07   0.240446E+07   0.240047E+07   0.240045E+07   0.240964E+07  -0.600182E+00   0.239538E+07   0.239536E+07   0.543629E+02
   0.237129E-03   0.240026E+07   0.240025E+07   0.310312E+07   0.310175E+07   0.240283E+07   0.240027E+07   0.240026E+07   0.240939E+07  -0.600116E+00   0.239519E+07   0.239517E+07   0.598109E+02
   0.261834E-03   0.240003E+07   0.240002E+07   0.308188E+07   0.308022E+07   0.240085E+07   0.240003E+07   0.240003E+07   0.240909E+07  -0.600036E+00   0.239496E+07   0.239493E+07   0.657529E+02
   0.289112E-03   0.239974E+07   0.239973E+07   0.305616E+07   0.305416E+07   0.239844E+07   0.239974E+07   0.239974E+07   0.240871E+07  -0.599939E+00   0.239467E+07   0.239464E+07   0.722158E+02
   0.319233E-03   0.239940E+07   0.239938E+07   0.302507E+07   0.302265E+07   0.239550E+07   0.239938E+07   0.239939E+07   0.240826E+07  -0.599820E+00   0.239432E+07   0.239428E+07   0.792210E+02
   0.352491E-03   0.239898E+07   0.239896E+07   0.298756E+07   0.298466E+07   0.239193E+07   0.239894E+07   0.239897E+07   0.240772E+07  -0.599676E+00   0.239390E+07   0.239385E+07   0.867818E+02
   0.389215E-03   0.239846E+07   0.239844E+07   0.294242E+07   0.293894E+07   0.238759E+07   0.239841E+07   0.239846E+07   0.240705E+07  -0.599501E+00   0.239339E+07   0.239332E+07   0.948990E+02
   0.429764E-03   0.239784E+07   0.239781E+07   0.288823E+07   0.288408E+07   0.238233E+07   0.239776E+07   0.239784E+07   0.240625E+07  -0.599290E+00   0.239276E+07   0.239268E+07   0.103556E+03
   0.474538E-03   0.239708E+07   0.239705E+07   0.282343E+07   0.281849E+07   0.237594E+07   0.239698E+07   0.239708E+07   0.240527E+07  -0.599033E+00   0.239200E+07   0.239191E+07   0.112711E+03
   0.523976E-03   0.239616E+07   0.239612E+07   0.274626E+07   0.274042E+07   0.236821E+07   0.239602E+07   0.239616E+07   0.240409E+07  -0.598722E+00   0.239108E+07   0.239097E+07   0.122291E+03
   0.578566E-03   0.239505E+07   0.239500E+07   0.265484E+07   0.264798E+07   0.235885E+07   0.239487E+07   0.239504E+07   0.240267E+07  -0.598347E+00   0.238995E+07   0.238982E+07   0.132178E+03
   0.638842E-03   0.239370E+07   0.239364E+07   0.254723E+07   0.253925E+07   0.234750E+07   0.239347E+07   0.239369E+07   0.240095E+07  -0.597895E+00   0.238859E+07   0.238844E+07   0.142202E+03
   0.705398E-03   0.239207E+07   0.239199E+07   0.242159E+07   0.241238E+07   0.233388E+07   0.239178E+07   0.239205E+07   0.239889E+07  -0.597351E+00   0.238695E+07   0.238676E+07   0.152124E+03
   0.778888E-03   0.239009E+07   0.239000E+07   0.227630E+07   0.226583E+07   0.231749E+07   0.238973E+07   0.239008E+07   0.239641E+07  -0.596699E+00   0.238495E+07   0.238474E+07   0.161626E+03
   0.860035E-03   0.238772E+07   0.238760E+07   0.211035E+07   0.209862E+07   0.229786E+07   0.238727E+07   0.238770E+07   0.239346E+07  -0.595919E+00   0.238255E+07   0.238229E+07   0.170299E+03
   0.949635E-03   0.238485E+07   0.238472E+07   0.192362E+07   0.191073E+07   0.227440E+07   0.238431E+07   0.238483E+07   0.238995E+07  -0.594990E+00   0.237965E+07   0.237936E+07   0.177642E+03
   0.104857E-02   0.238142E+07   0.238126E+07   0.171744E+07   0.170362E+07   0.224652E+07   0.238075E+07   0.238140E+07   0.238579E+07  -0.593890E+00   0.237616E+07   0.237583E+07   0.183072E+03
   0.115781E-02   0.237732E+07   0.237713E+07   0.149513E+07   0.148073E+07   0.221354E+07   0.237651E+07   0.237729E+07   0.238089E+07  -0.592593E+00   0.237199E+07   0.237162E+07   0.185951E+03
   0.127844E-02   0.237243E+07   0.237220E+07   0.126249E+07   0.124801E+07   0.217471E+07   0.237145E+07   0.237239E+07   0.237515E+07  -0.591073E+00   0.236700E+07   0.236659E+07   0.185650E+03
   0.141163E-02   0.236663E+07   0.236636E+07   0.102822E+07   0.101426E+07   0.212946E+07   0.236546E+07   0.236659E+07   0.236847E+07  -0.589304E+00   0.236107E+07   0.236063E+07   0.181649E+03
   0.155869E-02   0.235979E+07   0.235946E+07   0.803740E+06   0.790899E+06   0.207732E+07   0.235839E+07   0.235974E+07   0.236074E+07  -0.587261E+00   0.235406E+07   0.235359E+07   0.173680E+03
   0.172108E-02   0.235176E+07   0.235136E+07   0.602328E+06   0.591008E+06   0.201786E+07   0.235011E+07   0.235170E+07   0.235187E+07  -0.584918E+00   0.234581E+07   0.234533E+07   0.161901E+03
   0.190039E-02   0.234240E+07   0.234192E+07   0.436989E+06   0.427159E+06   0.195093E+07   0.234045E+07   0.234232E+07   0.234173E+07  -0.582253E+00   0.233616E+07   0.233568E+07   0.147065E+03
   0.209838E-02   0.233154E+07   0.233098E+07   0.317137E+06   0.308105E+06   0.187676E+07   0.232928E+07   0.233145E+07   0.233021E+07  -0.579243E+00   0.232497E+07   0.232450E+07   0.130596E+03
   0.231699E-02   0.231905E+07   0.231837E+07   0.244575E+06   0.234966E+06   0.179606E+07   0.231645E+07   0.231894E+07   0.231716E+07  -0.575862E+00   0.231209E+07   0.231164E+07   0.114468E+03
   0.255838E-02   0.230478E+07   0.230396E+07   0.210464E+06   0.198634E+06   0.171005E+07   0.230181E+07   0.230464E+07   0.230242E+07  -0.572080E+00   0.229738E+07   0.229694E+07   0.100766E+03
   0.282492E-02   0.228857E+07   0.228758E+07   0.196003E+06   0.181058E+06   0.162048E+07   0.228522E+07   0.228840E+07   0.228578E+07  -0.567859E+00   0.228073E+07   0.228029E+07   0.909463E+02
   0.311923E-02   0.227027E+07   0.226909E+07   0.179318E+06   0.162397E+06   0.152941E+07   0.226655E+07   0.227007E+07   0.226706E+07  -0.563150E+00   0.226200E+07   0.226154E+07   0.850311E+02
   0.344419E-02   0.224974E+07   0.224831E+07   0.147583E+06   0.132360E+06   0.143894E+07   0.224564E+07   0.224950E+07   0.224606E+07  -0.557900E+00   0.224107E+07   0.224059E+07   0.813492E+02
   0.380302E-02   0.222681E+07   0.222508E+07   0.106654E+06   0.975976E+05   0.135075E+07   0.222235E+07   0.222652E+07   0.222265E+07  -0.552061E+00   0.221779E+07   0.221728E+07   0.774429E+02
   0.419923E-02   0.220131E+07   0.219923E+07   0.759458E+05   0.744643E+05   0.126578E+07   0.219651E+07   0.220096E+07   0.219673E+07  -0.545594E+00   0.219200E+07   0.219148E+07   0.720243E+02
   0.463671E-02   0.217310E+07   0.217060E+07   0.660948E+05   0.676719E+05   0.118403E+07   0.216798E+07   0.217268E+07   0.216817E+07  -0.538466E+00   0.216353E+07   0.216300E+07   0.663072E+02
   0.511978E-02   0.214203E+07   0.213900E+07   0.629746E+05   0.547072E+05   0.110487E+07   0.213658E+07   0.214152E+07   0.213676E+07  -0.530641E+00   0.213222E+07   0.213167E+07   0.625296E+02
   0.565317E-02   0.210801E+07   0.210437E+07   0.486186E+05   0.441536E+05   0.102501E+07   0.210225E+07   0.210740E+07   0.210239E+07  -0.522091E+00   0.209801E+07   0.209742E+07   0.606296E+02
   0.624213E-02   0.207076E+07   0.206638E+07   0.334647E+05   0.355698E+05   0.944687E+06   0.206466E+07   0.207002E+07   0.206476E+07  -0.512736E+00   0.206057E+07   0.205995E+07   0.583634E+02
   0.689245E-02   0.203017E+07   0.202491E+07   0.316045E+05   0.285960E+05   0.864111E+06   0.202374E+07   0.202929E+07   0.202383E+07  -0.502557E+00   0.201982E+07   0.201916E+07   0.557785E+02
   0.761052E-02   0.198611E+07   0.197980E+07   0.263172E+05   0.229391E+05   0.782340E+06   0.197932E+07   0.198505E+07   0.197939E+07  -0.491514E+00   0.197558E+07   0.197487E+07   0.546518E+02
   0.840340E-02   0.193839E+07   0.193084E+07   0.180078E+05   0.183570E+05   0.702159E+06   0.193124E+07   0.193712E+07   0.193129E+07  -0.479563E+00   0.192770E+07   0.192692E+07   0.537614E+02
   0.927889E-02   0.188686E+07   0.187785E+07   0.176815E+05   0.146510E+05   0.626751E+06   0.187936E+07   0.188535E+07   0.187941E+07  -0.466671E+00   0.187601E+07   0.187517E+07   0.528652E+02
   0.102456E-01   0.183140E+07   0.182067E+07   0.119146E+05   0.116592E+05   0.558069E+06   0.182355E+07   0.182960E+07   0.182358E+07  -0.452806E+00   0.182040E+07   0.181947E+07   0.527698E+02
   0.113130E-01   0.177187E+07   0.175913E+07   0.113126E+05   0.924795E+04   0.492542E+06   0.176365E+07   0.176973E+07   0.176368E+07  -0.437927E+00   0.176071E+07   0.175969E+07   0.525683E+02
   0.124916E-01   0.170812E+07   0.169307E+07   0.771610E+04   0.730861E+04   0.428538E+06   0.169951E+07   0.170559E+07   0.169954E+07  -0.421997E+00   0.169680E+07   0.169566E+07   0.528251E+02
   0.137930E-01   0.164005E+07   0.162237E+07   0.658139E+04   0.575244E+04   0.370531E+06   0.163105E+07   0.163708E+07   0.163107E+07  -0.404994E+00   0.162855E+07   0.162729E+07   0.530788E+02
