#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.440638E+07   0.440638E+07   0.587458E+07   0.587456E+07   0.441316E+07   0.440641E+07   0.440638E+07   0.441583E+07  -0.599073E+00   0.437501E+07   0.437501E+07   0.113079E+02
   0.109829E-04   0.440638E+07   0.440638E+07   0.587445E+07   0.587443E+07   0.441315E+07   0.440641E+07   0.440638E+07   0.441582E+07  -0.599073E+00   0.437501E+07   0.437501E+07   0.124858E+02
   0.121272E-04   0.440638E+07   0.440638E+07   0.587429E+07   0.587427E+07   0.441315E+07   0.440641E+07   0.440638E+07   0.441582E+07  -0.599072E+00   0.437501E+07   0.437501E+07   0.137864E+02
   0.133906E-04   0.440637E+07   0.440637E+07   0.587410E+07   0.587407E+07   0.441314E+07   0.440641E+07   0.440637E+07   0.441582E+07  -0.599072E+00   0.437500E+07   0.437500E+07   0.152225E+02
   0.147857E-04   0.440637E+07   0.440637E+07   0.587386E+07   0.587382E+07   0.441313E+07   0.440640E+07   0.440637E+07   0.441582E+07  -0.599072E+00   0.437500E+07   0.437500E+07   0.168080E+02
   0.163261E-04   0.440637E+07   0.440637E+07   0.587358E+07   0.587353E+07   0.441312E+07   0.440640E+07   0.440637E+07   0.441582E+07  -0.599072E+00   0.437500E+07   0.437500E+07   0.185587E+02
   0.180270E-04   0.440637E+07   0.440637E+07   0.587323E+07   0.587317E+07   0.441310E+07   0.440640E+07   0.440637E+07   0.441581E+07  -0.599071E+00   0.437500E+07   0.437500E+07   0.204915E+02
   0.199051E-04   0.440636E+07   0.440636E+07   0.587280E+07   0.587273E+07   0.441308E+07   0.440640E+07   0.440636E+07   0.441581E+07  -0.599071E+00   0.437500E+07   0.437499E+07   0.226255E+02
   0.219788E-04   0.440636E+07   0.440636E+07   0.587228E+07   0.587219E+07   0.441306E+07   0.440639E+07   0.440636E+07   0.441581E+07  -0.599070E+00   0.437499E+07   0.437499E+07   0.249816E+02
   0.242687E-04   0.440636E+07   0.440636E+07   0.587165E+07   0.587154E+07   0.441303E+07   0.440639E+07   0.440636E+07   0.441580E+07  -0.599069E+00   0.437499E+07   0.437499E+07   0.275827E+02
   0.267970E-04   0.440635E+07   0.440635E+07   0.587087E+07   0.587074E+07   0.441300E+07   0.440638E+07   0.440635E+07   0.441579E+07  -0.599068E+00   0.437498E+07   0.437498E+07   0.304542E+02
   0.295888E-04   0.440634E+07   0.440634E+07   0.586993E+07   0.586977E+07   0.441296E+07   0.440638E+07   0.440634E+07   0.441578E+07  -0.599067E+00   0.437498E+07   0.437497E+07   0.336242E+02
   0.326714E-04   0.440634E+07   0.440634E+07   0.586878E+07   0.586858E+07   0.441291E+07   0.440637E+07   0.440634E+07   0.441577E+07  -0.599065E+00   0.437497E+07   0.437496E+07   0.371235E+02
   0.360752E-04   0.440633E+07   0.440632E+07   0.586738E+07   0.586714E+07   0.441285E+07   0.440636E+07   0.440633E+07   0.441576E+07  -0.599064E+00   0.437496E+07   0.437495E+07   0.409860E+02
   0.398336E-04   0.440631E+07   0.440631E+07   0.586567E+07   0.586538E+07   0.441278E+07   0.440634E+07   0.440631E+07   0.441575E+07  -0.599062E+00   0.437495E+07   0.437494E+07   0.452492E+02
   0.439836E-04   0.440630E+07   0.440630E+07   0.586359E+07   0.586324E+07   0.441269E+07   0.440633E+07   0.440630E+07   0.441573E+07  -0.599059E+00   0.437493E+07   0.437493E+07   0.499542E+02
