#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.528213E+07   0.528213E+07   0.704200E+07   0.704197E+07   0.528811E+07   0.528216E+07   0.528213E+07   0.529157E+07  -0.598061E+00   0.522023E+07   0.522023E+07   0.120054E+02
   0.109829E-04   0.528213E+07   0.528213E+07   0.704181E+07   0.704177E+07   0.528810E+07   0.528216E+07   0.528213E+07   0.529156E+07  -0.598060E+00   0.522023E+07   0.522023E+07   0.132560E+02
   0.121272E-04   0.528213E+07   0.528213E+07   0.704158E+07   0.704154E+07   0.528809E+07   0.528216E+07   0.528213E+07   0.529156E+07  -0.598060E+00   0.522023E+07   0.522023E+07   0.146368E+02
   0.133906E-04   0.528213E+07   0.528213E+07   0.704130E+07   0.704125E+07   0.528808E+07   0.528215E+07   0.528213E+07   0.529156E+07  -0.598060E+00   0.522023E+07   0.522023E+07   0.161614E+02
   0.147857E-04   0.528212E+07   0.528212E+07   0.704097E+07   0.704090E+07   0.528807E+07   0.528215E+07   0.528212E+07   0.529156E+07  -0.598060E+00   0.522023E+07   0.522022E+07   0.178447E+02
   0.163261E-04   0.528212E+07   0.528212E+07   0.704055E+07   0.704047E+07   0.528806E+07   0.528215E+07   0.528212E+07   0.529156E+07  -0.598059E+00   0.522022E+07   0.522022E+07   0.197032E+02
   0.180270E-04   0.528212E+07   0.528212E+07   0.704005E+07   0.703995E+07   0.528804E+07   0.528215E+07   0.528212E+07   0.529155E+07  -0.598059E+00   0.522022E+07   0.522022E+07   0.217552E+02
   0.199051E-04   0.528211E+07   0.528211E+07   0.703944E+07   0.703932E+07   0.528802E+07   0.528214E+07   0.528211E+07   0.529155E+07  -0.598058E+00   0.522022E+07   0.522022E+07   0.240207E+02
   0.219788E-04   0.528211E+07   0.528211E+07   0.703869E+07   0.703854E+07   0.528800E+07   0.528214E+07   0.528211E+07   0.529154E+07  -0.598058E+00   0.522021E+07   0.522021E+07   0.265219E+02
   0.242687E-04   0.528210E+07   0.528210E+07   0.703778E+07   0.703760E+07   0.528797E+07   0.528213E+07   0.528210E+07   0.529153E+07  -0.598057E+00   0.522021E+07   0.522020E+07   0.292832E+02
