#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.377790E+07   0.377790E+07   0.503677E+07   0.503676E+07   0.378547E+07   0.377794E+07   0.377790E+07   0.378736E+07  -0.599622E+00   0.375976E+07   0.375976E+07   0.101405E+02
   0.109829E-04   0.377790E+07   0.377790E+07   0.503668E+07   0.503666E+07   0.378547E+07   0.377794E+07   0.377790E+07   0.378736E+07  -0.599622E+00   0.375976E+07   0.375975E+07   0.111968E+02
   0.121272E-04   0.377790E+07   0.377790E+07   0.503656E+07   0.503654E+07   0.378546E+07   0.377794E+07   0.377790E+07   0.378736E+07  -0.599622E+00   0.375975E+07   0.375975E+07   0.123631E+02
   0.133906E-04   0.377790E+07   0.377790E+07   0.503642E+07   0.503640E+07   0.378545E+07   0.377794E+07   0.377790E+07   0.378736E+07  -0.599622E+00   0.375975E+07   0.375975E+07   0.136510E+02
   0.147857E-04   0.377790E+07   0.377790E+07   0.503624E+07   0.503622E+07   0.378544E+07   0.377794E+07   0.377790E+07   0.378735E+07  -0.599621E+00   0.375975E+07   0.375975E+07   0.150729E+02
   0.163261E-04   0.377790E+07   0.377790E+07   0.503603E+07   0.503600E+07   0.378543E+07   0.377793E+07   0.377790E+07   0.378735E+07  -0.599621E+00   0.375975E+07   0.375975E+07   0.166428E+02
   0.180270E-04   0.377790E+07   0.377790E+07   0.503578E+07   0.503574E+07   0.378542E+07   0.377793E+07   0.377790E+07   0.378735E+07  -0.599620E+00   0.375975E+07   0.375975E+07   0.183762E+02
   0.199051E-04   0.377789E+07   0.377789E+07   0.503546E+07   0.503542E+07   0.378540E+07   0.377793E+07   0.377789E+07   0.378735E+07  -0.599620E+00   0.375975E+07   0.375974E+07   0.202899E+02
   0.219788E-04   0.377789E+07   0.377789E+07   0.503508E+07   0.503502E+07   0.378538E+07   0.377793E+07   0.377789E+07   0.378734E+07  -0.599619E+00   0.375974E+07   0.375974E+07   0.224029E+02
   0.242687E-04   0.377789E+07   0.377789E+07   0.503461E+07   0.503454E+07   0.378536E+07   0.377792E+07   0.377789E+07   0.378734E+07  -0.599619E+00   0.375974E+07   0.375974E+07   0.247356E+02
   0.267970E-04   0.377788E+07   0.377788E+07   0.503404E+07   0.503396E+07   0.378533E+07   0.377792E+07   0.377788E+07   0.378733E+07  -0.599618E+00   0.375973E+07   0.375973E+07   0.273109E+02
   0.295888E-04   0.377788E+07   0.377788E+07   0.503335E+07   0.503325E+07   0.378529E+07   0.377791E+07   0.377788E+07   0.378732E+07  -0.599616E+00   0.375973E+07   0.375973E+07   0.301539E+02
   0.326714E-04   0.377787E+07   0.377787E+07   0.503250E+07   0.503238E+07   0.378525E+07   0.377790E+07   0.377787E+07   0.378732E+07  -0.599615E+00   0.375972E+07   0.375972E+07   0.332923E+02
   0.360752E-04   0.377786E+07   0.377786E+07   0.503147E+07   0.503132E+07   0.378520E+07   0.377790E+07   0.377786E+07   0.378731E+07  -0.599613E+00   0.375971E+07   0.375971E+07   0.367566E+02
   0.398336E-04   0.377785E+07   0.377785E+07   0.503022E+07   0.503003E+07   0.378513E+07   0.377789E+07   0.377785E+07   0.378729E+07  -0.599611E+00   0.375970E+07   0.375970E+07   0.405804E+02
   0.439836E-04   0.377784E+07   0.377784E+07   0.502868E+07   0.502846E+07   0.378505E+07   0.377787E+07   0.377784E+07   0.378728E+07  -0.599609E+00   0.375969E+07   0.375969E+07   0.448007E+02
   0.485659E-04   0.377782E+07   0.377782E+07   0.502682E+07   0.502655E+07   0.378496E+07   0.377786E+07   0.377782E+07   0.378726E+07  -0.599606E+00   0.375968E+07   0.375967E+07   0.494580E+02
   0.536256E-04   0.377781E+07   0.377780E+07   0.502454E+07   0.502421E+07   0.378484E+07   0.377784E+07   0.377781E+07   0.378724E+07  -0.599602E+00   0.375966E+07   0.375965E+07   0.545970E+02
   0.592125E-04   0.377779E+07   0.377778E+07   0.502177E+07   0.502137E+07   0.378469E+07   0.377782E+07   0.377778E+07   0.378721E+07  -0.599597E+00   0.375964E+07   0.375963E+07   0.602666E+02
   0.653814E-04   0.377776E+07   0.377776E+07   0.501839E+07   0.501790E+07   0.378452E+07   0.377779E+07   0.377776E+07   0.378718E+07  -0.599592E+00   0.375961E+07   0.375960E+07   0.665207E+02
   0.721930E-04   0.377773E+07   0.377772E+07   0.501427E+07   0.501368E+07   0.378430E+07   0.377776E+07   0.377773E+07   0.378713E+07  -0.599585E+00   0.375958E+07   0.375957E+07   0.734177E+02
   0.797142E-04   0.377769E+07   0.377768E+07   0.500926E+07   0.500853E+07   0.378404E+07   0.377772E+07   0.377769E+07   0.378708E+07  -0.599576E+00   0.375954E+07   0.375953E+07   0.810217E+02
