#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.264260E+07   0.264260E+07   0.352326E+07   0.352325E+07   0.265244E+07   0.264265E+07   0.264260E+07   0.265206E+07  -0.600353E+00   0.263633E+07   0.263633E+07   0.458506E+01
   0.109829E-04   0.264260E+07   0.264260E+07   0.352321E+07   0.352321E+07   0.265244E+07   0.264265E+07   0.264260E+07   0.265206E+07  -0.600353E+00   0.263633E+07   0.263633E+07   0.506270E+01
   0.121272E-04   0.264260E+07   0.264260E+07   0.352315E+07   0.352315E+07   0.265244E+07   0.264265E+07   0.264260E+07   0.265206E+07  -0.600353E+00   0.263633E+07   0.263633E+07   0.559009E+01
   0.133906E-04   0.264260E+07   0.264260E+07   0.352308E+07   0.352308E+07   0.265243E+07   0.264265E+07   0.264260E+07   0.265206E+07  -0.600352E+00   0.263633E+07   0.263633E+07   0.617240E+01
   0.147857E-04   0.264260E+07   0.264260E+07   0.352300E+07   0.352299E+07   0.265242E+07   0.264264E+07   0.264260E+07   0.265206E+07  -0.600352E+00   0.263633E+07   0.263632E+07   0.681535E+01
   0.163261E-04   0.264260E+07   0.264260E+07   0.352289E+07   0.352289E+07   0.265241E+07   0.264264E+07   0.264260E+07   0.265206E+07  -0.600352E+00   0.263632E+07   0.263632E+07   0.752525E+01
   0.180270E-04   0.264260E+07   0.264260E+07   0.352277E+07   0.352276E+07   0.265240E+07   0.264264E+07   0.264260E+07   0.265205E+07  -0.600352E+00   0.263632E+07   0.263632E+07   0.830907E+01
   0.199051E-04   0.264259E+07   0.264259E+07   0.352261E+07   0.352260E+07   0.265239E+07   0.264264E+07   0.264259E+07   0.265205E+07  -0.600351E+00   0.263632E+07   0.263632E+07   0.917447E+01
   0.219788E-04   0.264259E+07   0.264259E+07   0.352243E+07   0.352241E+07   0.265238E+07   0.264264E+07   0.264259E+07   0.265205E+07  -0.600350E+00   0.263632E+07   0.263632E+07   0.101300E+02
   0.242687E-04   0.264259E+07   0.264259E+07   0.352220E+07   0.352218E+07   0.265236E+07   0.264264E+07   0.264259E+07   0.265205E+07  -0.600350E+00   0.263632E+07   0.263632E+07   0.111849E+02
   0.267970E-04   0.264259E+07   0.264259E+07   0.352192E+07   0.352190E+07   0.265234E+07   0.264263E+07   0.264259E+07   0.265204E+07  -0.600349E+00   0.263631E+07   0.263631E+07   0.123495E+02
   0.295888E-04   0.264258E+07   0.264258E+07   0.352158E+07   0.352155E+07   0.265231E+07   0.264263E+07   0.264258E+07   0.265204E+07  -0.600348E+00   0.263631E+07   0.263631E+07   0.136353E+02
   0.326714E-04   0.264258E+07   0.264258E+07   0.352117E+07   0.352113E+07   0.265227E+07   0.264263E+07   0.264258E+07   0.265203E+07  -0.600347E+00   0.263631E+07   0.263631E+07   0.150547E+02
   0.360752E-04   0.264257E+07   0.264257E+07   0.352066E+07   0.352062E+07   0.265223E+07   0.264262E+07   0.264257E+07   0.265203E+07  -0.600345E+00   0.263630E+07   0.263630E+07   0.166217E+02
   0.398336E-04   0.264257E+07   0.264257E+07   0.352004E+07   0.351999E+07   0.265218E+07   0.264261E+07   0.264257E+07   0.265202E+07  -0.600343E+00   0.263630E+07   0.263629E+07   0.183513E+02
   0.439836E-04   0.264256E+07   0.264256E+07   0.351929E+07   0.351923E+07   0.265212E+07   0.264261E+07   0.264256E+07   0.265201E+07  -0.600341E+00   0.263629E+07   0.263629E+07   0.202605E+02
   0.485659E-04   0.264255E+07   0.264255E+07   0.351838E+07   0.351830E+07   0.265205E+07   0.264260E+07   0.264255E+07   0.265200E+07  -0.600338E+00   0.263628E+07   0.263628E+07   0.223676E+02
   0.536256E-04   0.264254E+07   0.264254E+07   0.351726E+07   0.351717E+07   0.265196E+07   0.264258E+07   0.264254E+07   0.265198E+07  -0.600334E+00   0.263627E+07   0.263626E+07   0.246930E+02
   0.592125E-04   0.264253E+07   0.264253E+07   0.351591E+07   0.351579E+07   0.265185E+07   0.264257E+07   0.264253E+07   0.265196E+07  -0.600330E+00   0.263625E+07   0.263625E+07   0.272590E+02
   0.653814E-04   0.264251E+07   0.264251E+07   0.351425E+07   0.351411E+07   0.265171E+07   0.264255E+07   0.264251E+07   0.265194E+07  -0.600325E+00   0.263624E+07   0.263623E+07   0.300900E+02
   0.721930E-04   0.264249E+07   0.264249E+07   0.351223E+07   0.351206E+07   0.265155E+07   0.264253E+07   0.264249E+07   0.265192E+07  -0.600319E+00   0.263622E+07   0.263621E+07   0.332128E+02
   0.797142E-04   0.264246E+07   0.264246E+07   0.350977E+07   0.350956E+07   0.265135E+07   0.264251E+07   0.264246E+07   0.265188E+07  -0.600311E+00   0.263619E+07   0.263619E+07   0.366569E+02
   0.880190E-04   0.264243E+07   0.264243E+07   0.350678E+07   0.350652E+07   0.265111E+07   0.264248E+07   0.264243E+07   0.265184E+07  -0.600302E+00   0.263616E+07   0.263616E+07   0.404541E+02
