#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.869694E+07   0.869694E+07   0.115936E+08   0.115935E+08   0.870123E+07   0.869696E+07   0.869694E+07   0.870625E+07  -0.590071E+00   0.826563E+07   0.826562E+07   0.117135E+02
   0.109829E-04   0.869694E+07   0.869694E+07   0.115931E+08   0.115930E+08   0.870122E+07   0.869696E+07   0.869694E+07   0.870625E+07  -0.590071E+00   0.826562E+07   0.826562E+07   0.129337E+02
   0.121272E-04   0.869694E+07   0.869694E+07   0.115925E+08   0.115923E+08   0.870121E+07   0.869696E+07   0.869694E+07   0.870625E+07  -0.590071E+00   0.826562E+07   0.826562E+07   0.142808E+02
   0.133906E-04   0.869693E+07   0.869693E+07   0.115917E+08   0.115915E+08   0.870120E+07   0.869695E+07   0.869693E+07   0.870624E+07  -0.590071E+00   0.826562E+07   0.826562E+07   0.157682E+02
   0.147857E-04   0.869693E+07   0.869693E+07   0.115908E+08   0.115906E+08   0.870118E+07   0.869695E+07   0.869693E+07   0.870624E+07  -0.590070E+00   0.826561E+07   0.826561E+07   0.174104E+02
   0.163261E-04   0.869692E+07   0.869692E+07   0.115897E+08   0.115894E+08   0.870116E+07   0.869694E+07   0.869692E+07   0.870623E+07  -0.590070E+00   0.826561E+07   0.826561E+07   0.192236E+02
   0.180270E-04   0.869692E+07   0.869692E+07   0.115883E+08   0.115880E+08   0.870114E+07   0.869694E+07   0.869692E+07   0.870623E+07  -0.590069E+00   0.826560E+07   0.826560E+07   0.212253E+02
   0.199051E-04   0.869691E+07   0.869691E+07   0.115866E+08   0.115862E+08   0.870111E+07   0.869693E+07   0.869691E+07   0.870622E+07  -0.590069E+00   0.826560E+07   0.826560E+07   0.234353E+02
   0.219788E-04   0.869690E+07   0.869690E+07   0.115846E+08   0.115841E+08   0.870108E+07   0.869692E+07   0.869690E+07   0.870621E+07  -0.590068E+00   0.826559E+07   0.826559E+07   0.258750E+02
   0.242687E-04   0.869689E+07   0.869689E+07   0.115821E+08   0.115815E+08   0.870104E+07   0.869691E+07   0.869689E+07   0.870620E+07  -0.590067E+00   0.826558E+07   0.826558E+07   0.285683E+02
   0.267970E-04   0.869688E+07   0.869688E+07   0.115790E+08   0.115784E+08   0.870098E+07   0.869690E+07   0.869688E+07   0.870618E+07  -0.590066E+00   0.826557E+07   0.826556E+07   0.315413E+02
   0.295888E-04   0.869686E+07   0.869686E+07   0.115753E+08   0.115745E+08   0.870092E+07   0.869688E+07   0.869686E+07   0.870616E+07  -0.590065E+00   0.826555E+07   0.826555E+07   0.348229E+02
   0.326714E-04   0.869684E+07   0.869684E+07   0.115708E+08   0.115698E+08   0.870084E+07   0.869686E+07   0.869684E+07   0.870614E+07  -0.590063E+00   0.826553E+07   0.826553E+07   0.384449E+02
   0.360752E-04   0.869682E+07   0.869682E+07   0.115653E+08   0.115641E+08   0.870075E+07   0.869684E+07   0.869682E+07   0.870611E+07  -0.590061E+00   0.826551E+07   0.826551E+07   0.424422E+02
   0.398336E-04   0.869679E+07   0.869679E+07   0.115586E+08   0.115572E+08   0.870064E+07   0.869681E+07   0.869679E+07   0.870608E+07  -0.590059E+00   0.826548E+07   0.826548E+07   0.468531E+02
   0.439836E-04   0.869676E+07   0.869675E+07   0.115505E+08   0.115487E+08   0.870050E+07   0.869678E+07   0.869676E+07   0.870603E+07  -0.590056E+00   0.826545E+07   0.826544E+07   0.517198E+02
   0.485659E-04   0.869672E+07   0.869671E+07   0.115405E+08   0.115383E+08   0.870033E+07   0.869673E+07   0.869672E+07   0.870598E+07  -0.590052E+00   0.826541E+07   0.826540E+07   0.570886E+02
   0.536256E-04   0.869666E+07   0.869666E+07   0.115284E+08   0.115257E+08   0.870012E+07   0.869668E+07   0.869666E+07   0.870592E+07  -0.590048E+00   0.826536E+07   0.826535E+07   0.630099E+02
   0.592125E-04   0.869660E+07   0.869659E+07   0.115137E+08   0.115104E+08   0.869987E+07   0.869662E+07   0.869660E+07   0.870584E+07  -0.590042E+00   0.826530E+07   0.826529E+07   0.695391E+02
   0.653814E-04   0.869653E+07   0.869651E+07   0.114957E+08   0.114917E+08   0.869956E+07   0.869654E+07   0.869652E+07   0.870575E+07  -0.590035E+00   0.826523E+07   0.826521E+07   0.767362E+02
   0.721930E-04   0.869643E+07   0.869642E+07   0.114739E+08   0.114690E+08   0.869918E+07   0.869644E+07   0.869643E+07   0.870564E+07  -0.590028E+00   0.826514E+07   0.826512E+07   0.846667E+02
   0.797142E-04   0.869632E+07   0.869630E+07   0.114473E+08   0.114414E+08   0.869873E+07   0.869633E+07   0.869632E+07   0.870550E+07  -0.590018E+00   0.826503E+07   0.826501E+07   0.934013E+02
   0.880190E-04   0.869618E+07   0.869615E+07   0.114149E+08   0.114077E+08   0.869817E+07   0.869618E+07   0.869618E+07   0.870533E+07  -0.590006E+00   0.826490E+07   0.826487E+07   0.103016E+03
   0.971891E-04   0.869601E+07   0.869598E+07   0.113756E+08   0.113669E+08   0.869749E+07   0.869601E+07   0.869601E+07   0.870513E+07  -0.589991E+00   0.826474E+07   0.826470E+07   0.113593E+03
   0.107314E-03   0.869581E+07   0.869577E+07   0.113278E+08   0.113172E+08   0.869666E+07   0.869580E+07   0.869580E+07   0.870488E+07  -0.589974E+00   0.826454E+07   0.826450E+07   0.125218E+03
   0.118495E-03   0.869556E+07   0.869551E+07   0.112699E+08   0.112570E+08   0.869566E+07   0.869555E+07   0.869555E+07   0.870458E+07  -0.589952E+00   0.826430E+07   0.826425E+07   0.137983E+03
   0.130840E-03   0.869525E+07   0.869519E+07   0.111996E+08   0.111839E+08   0.869443E+07   0.869524E+07   0.869524E+07   0.870421E+07  -0.589926E+00   0.826401E+07   0.826395E+07   0.151981E+03
   0.144471E-03   0.869488E+07   0.869481E+07   0.111144E+08   0.110954E+08   0.869293E+07   0.869486E+07   0.869487E+07   0.870376E+07  -0.589894E+00   0.826366E+07   0.826358E+07   0.167308E+03
   0.159522E-03   0.869442E+07   0.869434E+07   0.110115E+08   0.109885E+08   0.869110E+07   0.869440E+07   0.869441E+07   0.870322E+07  -0.589855E+00   0.826323E+07   0.826313E+07   0.184060E+03
   0.176142E-03   0.869387E+07   0.869377E+07   0.108872E+08   0.108594E+08   0.868888E+07   0.869383E+07   0.869386E+07   0.870255E+07  -0.589808E+00   0.826270E+07   0.826259E+07   0.202326E+03
   0.194493E-03   0.869320E+07   0.869308E+07   0.107375E+08   0.107039E+08   0.868618E+07   0.869315E+07   0.869318E+07   0.870175E+07  -0.589751E+00   0.826206E+07   0.826192E+07   0.222187E+03
   0.214755E-03   0.869239E+07   0.869223E+07   0.105576E+08   0.105172E+08   0.868288E+07   0.869232E+07   0.869236E+07   0.870077E+07  -0.589681E+00   0.826128E+07   0.826112E+07   0.243709E+03
   0.237129E-03   0.869139E+07   0.869121E+07   0.103423E+08   0.102937E+08   0.867887E+07   0.869130E+07   0.869136E+07   0.869958E+07  -0.589597E+00   0.826033E+07   0.826013E+07   0.266928E+03
   0.261834E-03   0.869019E+07   0.868996E+07   0.100855E+08   0.100273E+08   0.867400E+07   0.869007E+07   0.869015E+07   0.869814E+07  -0.589494E+00   0.825918E+07   0.825894E+07   0.291845E+03
   0.289112E-03   0.868872E+07   0.868845E+07   0.978072E+07   0.971136E+07   0.866807E+07   0.868858E+07   0.868868E+07   0.869640E+07  -0.589370E+00   0.825778E+07   0.825749E+07   0.318408E+03
   0.319233E-03   0.868694E+07   0.868662E+07   0.942127E+07   0.933893E+07   0.866086E+07   0.868677E+07   0.868689E+07   0.869430E+07  -0.589221E+00   0.825608E+07   0.825573E+07   0.346490E+03
   0.352491E-03   0.868479E+07   0.868439E+07   0.900043E+07   0.890327E+07   0.865210E+07   0.868457E+07   0.868472E+07   0.869176E+07  -0.589040E+00   0.825402E+07   0.825360E+07   0.375867E+03
   0.389215E-03   0.868218E+07   0.868171E+07   0.851222E+07   0.839839E+07   0.864148E+07   0.868191E+07   0.868210E+07   0.868870E+07  -0.588822E+00   0.825152E+07   0.825102E+07   0.406190E+03
   0.429764E-03   0.867903E+07   0.867846E+07   0.795221E+07   0.782002E+07   0.862861E+07   0.867869E+07   0.867893E+07   0.868503E+07  -0.588561E+00   0.824850E+07   0.824791E+07   0.436950E+03
   0.474538E-03   0.867522E+07   0.867454E+07   0.731880E+07   0.716691E+07   0.861302E+07   0.867481E+07   0.867511E+07   0.868064E+07  -0.588248E+00   0.824484E+07   0.824415E+07   0.467450E+03
   0.523976E-03   0.867064E+07   0.866983E+07   0.661471E+07   0.644246E+07   0.859418E+07   0.867014E+07   0.867050E+07   0.867540E+07  -0.587874E+00   0.824044E+07   0.823962E+07   0.496774E+03
   0.578566E-03   0.866513E+07   0.866418E+07   0.584891E+07   0.565666E+07   0.857145E+07   0.866452E+07   0.866497E+07   0.866916E+07  -0.587430E+00   0.823513E+07   0.823418E+07   0.523767E+03
   0.638842E-03   0.865853E+07   0.865742E+07   0.503840E+07   0.482796E+07   0.854400E+07   0.865780E+07   0.865834E+07   0.866178E+07  -0.586905E+00   0.822877E+07   0.822767E+07   0.547042E+03
   0.705398E-03   0.865064E+07   0.864936E+07   0.420970E+07   0.398471E+07   0.851112E+07   0.864977E+07   0.865043E+07   0.865308E+07  -0.586286E+00   0.822116E+07   0.821990E+07   0.565027E+03
