#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.330537E+07   0.330537E+07   0.440683E+07   0.440682E+07   0.331371E+07   0.330541E+07   0.330537E+07   0.331483E+07  -0.599959E+00   0.329367E+07   0.329367E+07   0.857296E+01
   0.109829E-04   0.330537E+07   0.330537E+07   0.440676E+07   0.440675E+07   0.331371E+07   0.330541E+07   0.330537E+07   0.331483E+07  -0.599959E+00   0.329367E+07   0.329367E+07   0.946602E+01
   0.121272E-04   0.330537E+07   0.330537E+07   0.440667E+07   0.440666E+07   0.331370E+07   0.330541E+07   0.330537E+07   0.331483E+07  -0.599958E+00   0.329367E+07   0.329367E+07   0.104521E+02
   0.133906E-04   0.330537E+07   0.330537E+07   0.440656E+07   0.440655E+07   0.331369E+07   0.330541E+07   0.330537E+07   0.331483E+07  -0.599958E+00   0.329367E+07   0.329367E+07   0.115409E+02
   0.147857E-04   0.330537E+07   0.330537E+07   0.440643E+07   0.440641E+07   0.331369E+07   0.330541E+07   0.330537E+07   0.331483E+07  -0.599958E+00   0.329367E+07   0.329367E+07   0.127430E+02
   0.163261E-04   0.330537E+07   0.330537E+07   0.440626E+07   0.440625E+07   0.331368E+07   0.330541E+07   0.330537E+07   0.331482E+07  -0.599958E+00   0.329367E+07   0.329367E+07   0.140703E+02
   0.180270E-04   0.330536E+07   0.330536E+07   0.440607E+07   0.440604E+07   0.331366E+07   0.330540E+07   0.330536E+07   0.331482E+07  -0.599957E+00   0.329367E+07   0.329367E+07   0.155357E+02
   0.199051E-04   0.330536E+07   0.330536E+07   0.440583E+07   0.440580E+07   0.331365E+07   0.330540E+07   0.330536E+07   0.331482E+07  -0.599957E+00   0.329367E+07   0.329367E+07   0.171538E+02
   0.219788E-04   0.330536E+07   0.330536E+07   0.440553E+07   0.440550E+07   0.331363E+07   0.330540E+07   0.330536E+07   0.331482E+07  -0.599956E+00   0.329366E+07   0.329366E+07   0.189401E+02
   0.242687E-04   0.330536E+07   0.330536E+07   0.440518E+07   0.440513E+07   0.331361E+07   0.330540E+07   0.330536E+07   0.331481E+07  -0.599955E+00   0.329366E+07   0.329366E+07   0.209124E+02
   0.267970E-04   0.330535E+07   0.330535E+07   0.440474E+07   0.440469E+07   0.331358E+07   0.330539E+07   0.330535E+07   0.331481E+07  -0.599954E+00   0.329366E+07   0.329366E+07   0.230898E+02
   0.295888E-04   0.330535E+07   0.330535E+07   0.440421E+07   0.440414E+07   0.331355E+07   0.330539E+07   0.330535E+07   0.331480E+07  -0.599953E+00   0.329365E+07   0.329365E+07   0.254935E+02
   0.326714E-04   0.330534E+07   0.330534E+07   0.440356E+07   0.440348E+07   0.331351E+07   0.330538E+07   0.330534E+07   0.331479E+07  -0.599952E+00   0.329365E+07   0.329364E+07   0.281471E+02
   0.360752E-04   0.330534E+07   0.330534E+07   0.440277E+07   0.440268E+07   0.331346E+07   0.330537E+07   0.330534E+07   0.331478E+07  -0.599950E+00   0.329364E+07   0.329364E+07   0.310763E+02
   0.398336E-04   0.330533E+07   0.330533E+07   0.440181E+07   0.440169E+07   0.331340E+07   0.330537E+07   0.330533E+07   0.331477E+07  -0.599948E+00   0.329363E+07   0.329363E+07   0.343095E+02
   0.439836E-04   0.330532E+07   0.330532E+07   0.440063E+07   0.440049E+07   0.331333E+07   0.330536E+07   0.330532E+07   0.331476E+07  -0.599946E+00   0.329362E+07   0.329362E+07   0.378781E+02
   0.485659E-04   0.330531E+07   0.330530E+07   0.439920E+07   0.439903E+07   0.331324E+07   0.330534E+07   0.330531E+07   0.331475E+07  -0.599943E+00   0.329361E+07   0.329360E+07   0.418164E+02
   0.536256E-04   0.330529E+07   0.330529E+07   0.439746E+07   0.439725E+07   0.331314E+07   0.330533E+07   0.330529E+07   0.331473E+07  -0.599939E+00   0.329359E+07   0.329359E+07   0.461623E+02
   0.592125E-04   0.330527E+07   0.330527E+07   0.439533E+07   0.439508E+07   0.331300E+07   0.330531E+07   0.330527E+07   0.331470E+07  -0.599935E+00   0.329358E+07   0.329357E+07   0.509572E+02
   0.653814E-04   0.330525E+07   0.330525E+07   0.439274E+07   0.439243E+07   0.331285E+07   0.330529E+07   0.330525E+07   0.331467E+07  -0.599929E+00   0.329355E+07   0.329355E+07   0.562468E+02
   0.721930E-04   0.330522E+07   0.330522E+07   0.438959E+07   0.438921E+07   0.331265E+07   0.330526E+07   0.330522E+07   0.331464E+07  -0.599923E+00   0.329353E+07   0.329352E+07   0.620807E+02
   0.797142E-04   0.330519E+07   0.330519E+07   0.438574E+07   0.438528E+07   0.331241E+07   0.330522E+07   0.330519E+07   0.331460E+07  -0.599914E+00   0.329349E+07   0.329348E+07   0.685135E+02
   0.880190E-04   0.330515E+07   0.330514E+07   0.438106E+07   0.438050E+07   0.331213E+07   0.330518E+07   0.330515E+07   0.331454E+07  -0.599905E+00   0.329345E+07   0.329344E+07   0.756044E+02
   0.971891E-04   0.330510E+07   0.330509E+07   0.437536E+07   0.437467E+07   0.331177E+07   0.330513E+07   0.330510E+07   0.331448E+07  -0.599892E+00   0.329340E+07   0.329339E+07   0.834179E+02
