two to four,,four to six,,six to eight,,eight to ten,,ten to twelve,
X,Y,X,Y,X,Y,X,Y,X,Y
0.02253521126760566,0.02631578947368407,0.02253521126760566,0.004784688995215003,0.29859154929577475,0.019138755980861344,0.4056338028169015,0.004784688995215003,0.5436619718309859,0.011961722488038173
0.05352112676056342,0.09808612440191444,0.059154929577464765,0.019138755980861344,0.32957746478873234,0.019138755980861344,0.4507042253521128,0.004784688995215003,0.5971830985915494,0.011961722488038173
0.07605633802816902,0.16985645933014348,0.08450704225352113,0.04784688995215314,0.35774647887323946,0.019138755980861344,0.4901408450704226,0.004784688995215003,0.6732394366197183,0.011961722488038173
0.09577464788732393,0.24880382775119614,0.11267605633802824,0.09090909090909127,0.39436619718309857,0.019138755980861344,0.5408450704225352,0.011961722488038173,0.7211267605633802,0.011961722488038173
0.10985915492957748,0.3349282296650715,0.1295774647887324,0.1267942583732058,0.4253521126760564,0.019138755980861344,0.5802816901408452,0.011961722488038173,0.7746478873239437,0.019138755980861344
0.11830985915492959,0.4282296650717705,0.15774647887323945,0.18421052631578982,0.4535211267605634,0.05502392344497631,0.6309859154929578,0.02631578947368407,0.8169014084507042,0.03349282296650724
0.1267605633802817,0.5215311004784691,0.17183098591549295,0.23444976076555024,0.4816901408450704,0.10526315789473717,0.6704225352112676,0.04784688995215314,0.8422535211267606,0.04066985645932997
0.13239436619718314,0.6148325358851676,0.1915492957746479,0.31339712918660334,0.5098591549295775,0.16985645933014348,0.6845070422535211,0.0693779904306222,0.8704225352112676,0.05502392344497631
0.1380281690140845,0.7081339712918662,0.2056338028169014,0.36363636363636376,0.5295774647887324,0.2559808612440193,0.7014084507042253,0.13397129186602852,0.9014084507042253,0.07655502392344538
0.1464788732394366,0.8014354066985643,0.22253521126760561,0.44258373205741597,0.5436619718309859,0.36363636363636376,0.7211267605633802,0.2200956937799039,0.9267605633802818,0.10526315789473717
0.15492957746478875,0.8947368421052628,0.23661971830985912,0.5,0.552112676056338,0.46411483253588504,0.7380281690140844,0.3349282296650715,0.9521126760563379,0.13397129186602852
0.16056338028169015,0.9880382775119614,0.24788732394366203,0.5717703349282295,0.5577464788732396,0.5645933014354063,0.7492957746478874,0.44258373205741597,0.9690140845070423,0.1555023923444976
0.16901408450704225,1.0813397129186604,0.25915492957746483,0.6363636363636367,0.5661971830985915,0.665071770334928,0.76056338028169,0.5645933014354063,1,0.1555023923444976
0.1774647887323944,1.174641148325359,0.27323943661971833,0.7153110047846889,0.5718309859154931,0.7655502392344502,0.7690140845070423,0.665071770334928,1.0169014084507042,0.16985645933014348
0.1830985915492958,1.2607655502392343,0.28169014084507044,0.7799043062200957,0.5774647887323945,0.8588516746411488,0.7774647887323944,0.7870813397129184,1.036619718309859,0.17703349282296665
0.1943661971830986,1.361244019138756,0.29577464788732394,0.8588516746411488,0.5830985915492959,0.9521531100478469,0.7830985915492956,0.8875598086124401,1.059154929577465,0.17703349282296665
0.2,1.4473684210526314,0.30985915492957744,0.9162679425837319,0.5859154929577464,1.0382775119617222,0.7943661971830986,1.009569377990431,1.084507042253521,0.16267942583732076
0.2084507042253521,1.54066985645933,0.31830985915492965,0.9880382775119614,0.5943661971830987,1.1315789473684208,0.7999999999999998,1.1172248803827753,1.1154929577464787,0.1411483253588517
0.21690140845070421,1.6339712918660285,0.32957746478873234,1.0598086124401913,0.6000000000000001,1.2320574162679425,0.8140845070422535,1.2320574162679425,1.143661971830986,0.11961722488038262
0.22816901408450713,1.7272727272727275,0.33802816901408456,1.138755980861244,0.6056338028169015,1.325358851674641,0.828169014084507,1.3181818181818183,1.180281690140845,0.09090909090909127
0.23661971830985912,1.813397129186603,0.34647887323943655,1.2105263157894735,0.6112676056338029,1.4043062200956937,0.8366197183098592,1.339712918660287,1.2169014084507042,0.07655502392344538
0.24788732394366203,1.906698564593301,0.35211267605633806,1.2966507177033493,0.619718309859155,1.5047846889952154,0.8450704225352113,1.339712918660287,1.2535211267605633,0.05502392344497631
